seed,matched_pc_1based,signed_cos,abs_cos,expl_var,fc_r2,auc_mz,auc_dz,auc_sb
0,5,0.9999998807907104,0.9999998807907104,0.01182618923485279,0.0917811393737793,0.6576289207868156,0.34727845254161044,0.5699649122807018
1,5,-0.8993066549301147,0.8993066549301147,0.01134508103132248,0.16818028688430786,0.6038095238095238,0.5424242424242425,0.5410169491525424
2,5,-0.8675054311752319,0.8675054311752319,0.011874238029122353,0.06842803955078125,0.6698158914728682,0.58515731874145,0.5818835434049352
3,5,-0.888496458530426,0.888496458530426,0.01125840563327074,0.12881726026535034,0.5600414078674949,0.5527950310559007,0.5234782608695653
4,5,-0.9286862015724182,0.9286862015724182,0.012171712704002857,0.09870022535324097,0.5344966442953021,0.6735378715244487,0.4924344112263575
5,5,0.863304853439331,0.863304853439331,0.01216550450772047,0.10630637407302856,0.611280487804878,0.4839939024390244,0.5624103299856528
6,5,-0.9131409525871277,0.9131409525871277,0.01213973667472601,0.0734262466430664,0.5133522727272728,0.5370192307692309,0.5879500000000001
7,5,0.8558353781700134,0.8558353781700134,0.011592605151236057,0.13632464408874512,0.6084033613445379,0.5609243697478992,0.6022222222222222
8,5,-0.8405303359031677,0.8405303359031677,0.011928252875804901,0.11324578523635864,0.5893004115226338,0.49331275720164613,0.5347736625514403
9,5,-0.7552741765975952,0.7552741765975952,0.01128300093114376,0.1424121856689453,0.6150221729490022,0.45121951219512196,0.5633862733976177
