seed,K,interhemi_frac_top,interhemi_frac_base,richclub_frac_top,richclub_frac_base,energy_top1pct
0,200,0.035,0.5013927576601671,0.145,0.03955431754874652,0.5622656345367432
1,200,0.05,0.5013927576601671,0.125,0.03955431754874652,0.5806567072868347
2,200,0.035,0.5013927576601671,0.13,0.03955431754874652,0.571200966835022
3,200,0.06,0.5013927576601671,0.105,0.03955431754874652,0.588768482208252
4,200,0.08,0.5013927576601671,0.14,0.03955431754874652,0.595138669013977
5,200,0.03,0.5013927576601671,0.155,0.03955431754874652,0.5637471079826355
6,200,0.06,0.5013927576601671,0.125,0.03955431754874652,0.5886945724487305
7,200,0.04,0.5013927576601671,0.135,0.03955431754874652,0.5823502540588379
8,200,0.05,0.5013927576601671,0.165,0.03955431754874652,0.6121623516082764
9,200,0.035,0.5013927576601671,0.145,0.03955431754874652,0.5814725160598755
