seed,matched_pc_1based,signed_cos,abs_cos,expl_var,fc_r2,auc_mz,auc_dz,auc_sb
0,4,0.9999995231628418,0.9999995231628418,0.01361047849059105,0.09054607152938843,0.6928938507885876,0.7004048582995952,0.5619181286549707
1,4,0.9035324454307556,0.9035324454307556,0.014030271209776402,0.11603057384490967,0.659047619047619,0.43939393939393934,0.5731638418079096
2,4,0.9438862800598145,0.9438862800598145,0.013284167274832726,0.19274777173995972,0.7277131782945737,0.5615595075239398,0.611530268063199
3,4,-0.9076061844825745,0.9076061844825745,0.01435297541320324,0.02854776382446289,0.6193064182194616,0.7406832298136645,0.5692422360248447
4,4,0.9098944664001465,0.9098944664001465,0.013385569676756859,0.15409231185913086,0.6947651006711408,0.5661553211888782,0.6212324588163514
5,4,0.8942502737045288,0.8942502737045288,0.01308770664036274,0.18716543912887573,0.6957317073170732,0.7614329268292683,0.6027170014347202
6,4,0.8719279170036316,0.8719279170036316,0.013429736718535423,0.1247662901878357,0.6914772727272728,0.5942307692307692,0.55425
7,4,0.8955174684524536,0.8955174684524536,0.01361736562103033,0.15045493841171265,0.669467787114846,0.5483193277310924,0.5073202614379085
8,4,-0.8482692837715149,0.8482692837715149,0.013462738133966923,0.11065864562988281,0.6294238683127572,0.6774691358024691,0.5860082304526749
9,4,0.8922196626663208,0.8922196626663208,0.013474693521857262,0.08269631862640381,0.6172394678492239,0.6045966228893058,0.612733976176971
