task,parcellation,seed,estimator,variant,input_set,target,is_leak_target,contains_subject_info,is_connectome_only,pearson,spearman,r2,n_eval,lift_over_bvdemo,lift_perm_p,residualized_pearson,config_hash,git_commit,balanced_acc
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+obs_SC,CogFluid,False,False,True,0.4508264082661924,0.4593893632904827,0.1541584340730779,194.0,0.0963253070067627,0.1309345327336331,0.3102894163975325,c959e211,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC,CogFluid,False,False,True,0.4028803258917238,0.3915549927251955,0.089552900488611,194.0,0.0483792246322942,0.8270864567716142,0.0019057315331623,763e68b2,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC,CogFluid,False,False,True,0.2734155363920832,0.2562059265616075,0.0678307740810901,194.0,-0.0810855648673463,0.9525237381309344,0.070066011312286,e5dc9e40,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+bv+demo,CogFluid,False,True,False,0.4800813406348463,0.4845319227119494,0.1877669834936929,194.0,0.1255802393754167,0.0199900049975012,0.3219419089007559,66641bc0,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+bv+demo,CogFluid,False,True,False,0.311835920816115,0.3055410601556042,0.0793188948784823,194.0,-0.0426651804433145,0.9580209895052474,0.0479326477230367,e708cc00,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC+bv+demo,CogFluid,False,True,False,0.4129781332757237,0.3884930160491247,0.1504974571881399,194.0,0.0584770320162941,0.0014992503748125,0.0022076882927338,38b609ad,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,CogFluid,False,True,False,0.3596665696993975,0.324849756876205,0.1194130215296268,194.0,0.0051654684399679,0.4602698650674662,0.0403645394347851,a8896977,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC+bv,CogFluid,False,True,False,0.2951871915356104,0.2834284277348549,0.0788978931491412,194.0,-0.0593139097238192,0.920039980009995,0.0418709877566341,ac009a21,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC+bv,CogFluid,False,True,False,0.379448023442605,0.3726021295796723,0.1101219383642102,194.0,0.0249469221831754,0.6061969015492253,0.0023493065550831,b4835023,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+pred_FC,CogFluid,False,False,True,0.2509715965688471,0.2310362481840727,0.055276317179661,194.0,-0.1035295046905824,0.9835082458770614,0.0516056090292963,7c4b578a,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC,CogFluid,False,False,True,0.46066008971893,0.4696353979649997,0.1612056393315832,194.0,0.1061589884595003,0.1179410294852573,0.3203683153939639,86ed1235,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC+bv,CogFluid,False,True,False,0.4671655696317043,0.4754520031483675,0.1750085240869288,194.0,0.1126644683722746,0.048975512243878,0.3230124700807137,f117905e,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC+bv+demo,CogFluid,False,True,False,0.4801174388798377,0.4850217074942731,0.1869608743584127,194.0,0.125616337620408,0.0204897551224387,0.3192771601349829,07e51ec6,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+pred_FC+bv+demo,CogFluid,False,True,False,0.3055588112453938,0.2897709763086376,0.0802954951359069,194.0,-0.0489422900140358,0.9435282358820588,0.0610453616933874,d8955fda,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,everything,CogFluid,False,True,False,0.4583011716361708,0.4675891494616674,0.1649109180496518,194.0,0.1038000703767411,0.0629685157421289,0.3023343274662597,c5788bd1,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,bv+demo,CogCryst,False,True,False,0.297669524917919,0.2764119874400977,0.0740869096339547,194.0,0.0,1.0,0.1882063684470826,599ae9cd,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC,CogCryst,False,False,True,0.5863146471220105,0.5866603115102297,0.3135175600235976,194.0,0.2886451222040915,0.0004997501249375,0.4847265835705821,8197bad7,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC,CogCryst,False,False,True,0.3210728529329774,0.3291716573284942,0.0952263828534143,194.0,0.0234033280150583,0.2843578210894553,0.1022174202299206,7a8a737f,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+obs_SC,CogCryst,False,False,True,0.5841087067459337,0.5850685063892218,0.3160117038565923,194.0,0.2864391818280147,0.0004997501249375,0.491809498250022,ff9b8972,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC,CogCryst,False,False,True,0.512438483234172,0.5110302562229443,0.2086074874508773,194.0,0.2147689583162529,0.000999500249875,0.378309385653912,82e06c11,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC,CogCryst,False,False,True,0.3236760170067163,0.3096599232097079,0.0985482254238623,194.0,0.0260064920887972,0.2413793103448276,0.0221946875138068,acd81930,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+bv+demo,CogCryst,False,True,False,0.5782078704646928,0.5810705033362003,0.3200086929649718,194.0,0.2805383455467737,0.0004997501249375,0.4734380528181686,ca78b16b,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+bv+demo,CogCryst,False,True,False,0.3374396362156959,0.3295636506391399,0.1091679438102808,194.0,0.0397701112977769,0.1039480259870064,0.0859862411970791,b41771ca,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC+bv+demo,CogCryst,False,True,False,0.4199291176459505,0.4213467887651089,0.168917530860493,194.0,0.1222595927280315,0.0004997501249375,0.3619898170136379,23457511,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,CogCryst,False,True,False,0.3286675632877377,0.3071419619857698,0.0996943874365817,194.0,0.0309980383698186,0.0584707646176911,-0.0644889733092635,db6fa9f0,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC+bv,CogCryst,False,True,False,0.3274787831407547,0.3114957996373442,0.1020604435744707,194.0,0.0298092582228356,0.2083958020989505,-0.0208182289368399,64d740d1,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC+bv,CogCryst,False,True,False,0.4801444981774962,0.4777593103638202,0.2052185751587889,194.0,0.1824749732595772,0.0004997501249375,0.3728583966986867,eff08072,f8d84d1,
