variant,relation,n_pairs,auc,auc_lo,auc_hi,p_perm,p_fdr,sig_fdr
obs_SC,MZ,242,0.9989306610042621,0.998058021068573,0.9995638728141785,0.0,0.0,True
obs_SC,DZ,127,0.9380169900204249,0.9235395193099976,0.9512137174606323,0.0,0.0,True
obs_SC,sibling,1254,0.8629686297747394,0.8498645424842834,0.8757816553115845,0.0,0.0,True
obs_FC,MZ,242,0.9897190693695483,0.9844358563423157,0.9938092231750488,0.0,0.0,True
obs_FC,DZ,127,0.8858922671634623,0.8522988557815552,0.9136877655982971,0.0,0.0,True
obs_FC,sibling,1254,0.8228761002377112,0.8065277934074402,0.8385108709335327,0.0,0.0,True
pred_SC_raw,MZ,242,0.9735389519459425,0.9647068977355957,0.9813203811645508,0.0,0.0,True
pred_SC_raw,DZ,127,0.7981962051416399,0.7541361451148987,0.8395541906356812,0.0,0.0,True
pred_SC_raw,sibling,1254,0.67969361874411,0.6597421765327454,0.7002188563346863,0.0,0.0,True
pred_SC_resid_bvdemo,MZ,242,0.9885275202028689,0.9819725155830383,0.9937790632247925,0.0,0.0,True
pred_SC_resid_bvdemo,DZ,127,0.8227109319283333,0.783964216709137,0.8603963255882263,0.0,0.0,True
pred_SC_resid_bvdemo,sibling,1254,0.8096727563601774,0.7946515679359436,0.8249427676200867,0.0,0.0,True
combined_pred_SC,MZ,242,0.8971397727909239,0.8793851733207703,0.9144834280014038,0.0,0.0,True
combined_pred_SC,DZ,127,0.7006273014394457,0.6542630195617676,0.7419927716255188,0.0,0.0,True
combined_pred_SC,sibling,1254,0.5049355310081061,0.4820447266101837,0.5257971882820129,0.6481,0.6481,False
bvdemo_to_SC,MZ,242,0.9507060183417099,0.9353013634681702,0.9637898206710815,0.0,0.0,True
bvdemo_to_SC,DZ,127,0.7997050276294021,0.7591069936752319,0.8398805856704712,0.0,0.0,True
bvdemo_to_SC,sibling,1254,0.5628161171988393,0.5409835577011108,0.5850873589515686,0.0,0.0,True
pred_FC_raw,MZ,242,0.9103741158857946,0.8885315656661987,0.9292511343955994,0.0,0.0,True
pred_FC_raw,DZ,127,0.755701748002387,0.7151814103126526,0.7923578023910522,0.0,0.0,True
pred_FC_raw,sibling,1254,0.7096556576564361,0.6906629204750061,0.7296987175941467,0.0,0.0,True
pred_FC_resid_bvdemo,MZ,242,0.918106455243071,0.896415114402771,0.9371592998504639,0.0,0.0,True
pred_FC_resid_bvdemo,DZ,127,0.7412587751854494,0.6923553943634033,0.7850154638290405,0.0,0.0,True
pred_FC_resid_bvdemo,sibling,1254,0.7429435909832836,0.7253767848014832,0.7607041001319885,0.0,0.0,True
