rep,seed,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
SC_linear_ref,0,0.01397903636097908,-0.06215914711356163,0.8307310938835144,0.7124260355029586,0.03076923076923077,0.08489642292261124
sink_linear,0,0.014063447713851929,-0.06776219606399536,0.8294983506202698,0.7081919789612097,0.03076923076923077,0.08530095219612122
sink_residual,0,0.014978689141571522,-0.13727878034114838,0.8181444406509399,0.698671926364234,0.046153846153846156,0.08581195026636124
SC_linear_ref,1,0.01444594468921423,-0.05236267298460007,0.8224368095397949,0.7213149243918475,0.05128205128205128,0.08621387183666229
sink_linear,1,0.01432732492685318,-0.04435640573501587,0.823774516582489,0.7554240631163708,0.06153846153846154,0.10591579228639603
sink_residual,1,0.015219639055430889,-0.10861259698867798,0.8132534027099609,0.7398553583168967,0.06666666666666667,0.09840589761734009
SC_linear_ref,2,0.0143186179921031,-0.05061308294534683,0.8277159333229065,0.7081919789612097,0.05128205128205128,0.08343001455068588
sink_linear,2,0.014285762794315815,-0.04931705445051193,0.8281439542770386,0.7413543721236029,0.020512820512820513,0.10097907483577728
sink_residual,2,0.01515297219157219,-0.11268157511949539,0.8177345991134644,0.7320973044049968,0.02564102564102564,0.09862107783555984
SC_linear_ref,3,0.014168135821819305,-0.06334134191274643,0.8249361515045166,0.6976199868507561,0.05641025641025641,0.07326773554086685
sink_linear,3,0.014095519669353962,-0.05829855799674988,0.8253396153450012,0.7190532544378698,0.06666666666666667,0.0940062403678894
sink_residual,3,0.01487154420465231,-0.11693206429481506,0.8159144520759583,0.7280473372781064,0.06153846153846154,0.09725084900856018
SC_linear_ref,4,0.01427091658115387,-0.04866055026650429,0.8317715525627136,0.7438001314924392,0.05641025641025641,0.09147221595048904
sink_linear,4,0.01440639141947031,-0.05675747990608215,0.8295058608055115,0.7188954635108481,0.041025641025641026,0.09431961923837662
sink_residual,4,0.015283307060599327,-0.12133058905601501,0.81842041015625,0.7117948717948718,0.05641025641025641,0.09453588724136353
SC_linear_ref,5,0.014075995422899723,-0.06029745191335678,0.8324829936027527,0.7131886916502301,0.05641025641025641,0.08463431894779205
sink_linear,5,0.014055294916033745,-0.05849397927522659,0.8322146534919739,0.7266535174227482,0.035897435897435895,0.09343666583299637
sink_residual,5,0.014913910999894142,-0.12293903529644012,0.8218863606452942,0.7233662064431295,0.046153846153846156,0.09023844450712204
SC_linear_ref,6,0.014145704917609692,-0.06198415905237198,0.8307992219924927,0.6869690992767916,0.041025641025641026,0.076863594353199
sink_linear,6,0.014137919060885906,-0.06150302290916443,0.8309363722801208,0.7167126890203813,0.05641025641025641,0.09038259834051132
sink_residual,6,0.015061366371810436,-0.1315849870443344,0.8198454976081848,0.7055095332018408,0.046153846153846156,0.08663111180067062
SC_linear_ref,7,0.014533364214003086,-0.04997991770505905,0.82090163230896,0.7385667324128863,0.06666666666666667,0.10091429203748703
sink_linear,7,0.014442436397075653,-0.04494353011250496,0.8218739628791809,0.7583957922419461,0.07179487179487179,0.11692970246076584
sink_residual,7,0.01525952573865652,-0.10496537387371063,0.8121625781059265,0.7506903353057199,0.08205128205128205,0.113037109375
SC_linear_ref,8,0.014496534131467342,-0.05510609224438667,0.8307790756225586,0.7249178172255095,0.041025641025641026,0.08476299047470093
sink_linear,8,0.014434097334742546,-0.05234997346997261,0.830945611000061,0.7384089414858646,0.02564102564102564,0.09733302891254425
sink_residual,8,0.015202694572508335,-0.10861729830503464,0.8210961222648621,0.7434582511505587,0.02564102564102564,0.09947069734334946
SC_linear_ref,9,0.014365369454026222,-0.05920897051692009,0.826097846031189,0.6929404414827156,0.04081632653061224,0.07565724104642868
sink_linear,9,0.01435021124780178,-0.058008622378110886,0.8260077834129333,0.7142596834652228,0.061224489795918366,0.09200884401798248
sink_residual,9,0.015240771695971489,-0.12251271307468414,0.8152575492858887,0.7082205331112037,0.05612244897959184,0.08967136591672897
