rep,estimator,target,pearson,spearman,r2,lift_over_bvdemo
FC,HGB,CogCrystalComp_Unadj,0.24930996611747053,0.21843632351904885,0.05409933785597154,-0.11702933855143072
FC,HGB,CogFluidComp_Unadj,0.1179642437087476,0.1419181198732835,0.01018876785413797,-0.10729680082293823
FC,HGB,CogTotalComp_Unadj,0.2536223526826471,0.2596001647508732,0.04468974440942075,-0.10098829054383196
FC,KR,CogCrystalComp_Unadj,0.33771219791963636,0.30507460413245346,-3.094406315614416,0.06808880016008478
FC,KR,CogFluidComp_Unadj,0.17808663465068536,0.15069146134454314,-2.125466435935921,-0.011584683249193845
FC,KR,CogTotalComp_Unadj,0.3375081202340695,0.2911764291779291,-1.5099675335857592,0.0557406887467895
FC,linear_BR,CogCrystalComp_Unadj,0.450759650306764,0.44003461385035625,0.19613266064935986,0.10456544027154874
FC,linear_BR,CogFluidComp_Unadj,0.34234354224679087,0.2988982463995189,0.10791295864409439,0.03286399638378312
FC,linear_BR,CogTotalComp_Unadj,0.45076322905723687,0.4234814419454067,0.19429819787615454,0.07845116166447952
SC,HGB,CogCrystalComp_Unadj,0.1721917901654929,0.16201685539653732,0.01034128209274543,-0.19414751450340834
SC,HGB,CogFluidComp_Unadj,0.03563859287970791,0.016587367979617147,-0.006567696002092116,-0.1896224516519779
SC,HGB,CogTotalComp_Unadj,0.12548445208746112,0.12185496611244147,0.011519319003329254,-0.22912619113901794
SC,KR,CogCrystalComp_Unadj,0.24095552681892224,0.2228888254948389,-2.468426307691518,-0.028667870940629336
SC,KR,CogFluidComp_Unadj,0.11345268623020482,0.11237333789828416,-1.602776555450864,-0.07621863166967438
SC,KR,CogTotalComp_Unadj,0.19045487478151887,0.1898347235816493,-1.2390788534648352,-0.09131255670576113
SC,linear_BR,CogCrystalComp_Unadj,0.26741382427770244,0.2432345453286108,0.0582997141647727,-0.07878038575751284
SC,linear_BR,CogFluidComp_Unadj,0.1797661772275037,0.14821348435191217,0.02250569285077253,-0.12971336863550403
SC,linear_BR,CogTotalComp_Unadj,0.26143209932322753,0.23499937607769408,0.057677850747578696,-0.11087996806952982
SC_r2t,HGB,CogCrystalComp_Unadj,0.09053318360562096,0.06414072583016106,0.0025437637187159523,-0.2758061210632803
SC_r2t,HGB,CogFluidComp_Unadj,0.03255263697155196,0.04189725482838061,-0.011084529252723518,-0.19270840756013385
SC_r2t,HGB,CogTotalComp_Unadj,0.12124593553483329,0.1267074454238422,0.0035939773509203188,-0.23336470769164577
SC_r2t,KR,CogCrystalComp_Unadj,-0.03873879262832486,-0.047344347601345566,-0.41719917175986854,-0.30836219038787643
SC_r2t,KR,CogFluidComp_Unadj,-0.00616920350667829,-0.016593421932125086,-0.28819987184139717,-0.1958405214065575
SC_r2t,KR,CogTotalComp_Unadj,0.009406001349705326,0.006234914036938998,-0.20838794005425665,-0.2723614301375747
SC_r2t,linear_BR,CogCrystalComp_Unadj,0.1636191946863864,0.16494589767003592,-0.09895811112082775,-0.1825750153488289
SC_r2t,linear_BR,CogFluidComp_Unadj,0.1303295521172147,0.12697518602098445,-0.09320045224217033,-0.17914999374579305
SC_r2t,linear_BR,CogTotalComp_Unadj,0.19620230321101126,0.19522296155726176,-0.028895886452361963,-0.1761097641817461
