rep,target,variant,seed,pearson,spearman,r2
r2t,CogCrystalComp_Unadj,template,1,0.17587503215132963,0.2078243215445852,0.024242746141359683
r2t,CogCrystalComp_Unadj,final,1,0.17488710008710426,0.2056802777991679,-0.049928789482153846
r2t_corr,CogCrystalComp_Unadj,template,1,0.10732732097021216,0.08368262728855726,0.0065534668895397274
r2t_corr,CogCrystalComp_Unadj,final,1,0.11151610597964179,0.08569600681185063,-0.03526947848571216
SC_r2t,CogCrystalComp_Unadj,template,1,0.17587592126783594,0.2078243215445852,0.024243047202147316
SC_r2t,CogCrystalComp_Unadj,final,1,0.17488767309498668,0.2056802777991679,-0.04992910907241521
FC,CogCrystalComp_Unadj,template,1,0.47846541778827856,0.47461354413216916,0.2134853540770011
FC,CogCrystalComp_Unadj,final,1,0.4819462302030427,0.4754114998534417,0.22862293741573336
bv+demo,CogTotalComp_Unadj,template,2,0.43592498221820325,0.37418929578521987,0.17441689622908763
bv+demo,CogTotalComp_Unadj,final,2,0.44078024459128357,0.3694790631319909,0.18844755156786075
SC,CogTotalComp_Unadj,template,2,0.2998679024415405,0.26492158079255884,0.05132913359242208
SC,CogTotalComp_Unadj,final,2,0.29583856097613676,0.26392911816192105,0.08552395252897427
r2t,CogTotalComp_Unadj,template,2,0.17272167850457246,0.175710959619575,0.02396664226302425
r2t,CogTotalComp_Unadj,final,2,0.17047467652334972,0.17234209571944528,-0.046103490496042676
r2t_corr,CogTotalComp_Unadj,template,2,0.042412279587481096,0.046750081595258855,-0.010483455648956364
r2t_corr,CogTotalComp_Unadj,final,2,0.04482723330712906,0.04821081296920013,-0.08712968278883104
SC_r2t,CogTotalComp_Unadj,template,2,0.17272197076693782,0.175710959619575,0.023966866566530354
SC_r2t,CogTotalComp_Unadj,final,2,0.17047504177513342,0.17234209571944528,-0.04610280610393014
FC,CogTotalComp_Unadj,template,2,0.5241454886531874,0.5013255116475728,0.2371634013894618
FC,CogTotalComp_Unadj,final,2,0.5222393605778535,0.5022486938759037,0.27089101132588
bv+demo,CogFluidComp_Unadj,template,2,0.33201501564128066,0.28176733790184816,0.09642480907678797
bv+demo,CogFluidComp_Unadj,final,2,0.32176348114608944,0.269428222555619,0.09399109888461643
SC,CogFluidComp_Unadj,template,2,0.2279002067779311,0.21250003129915268,0.012107083240825434
SC,CogFluidComp_Unadj,final,2,0.22176135605149186,0.20287261682954003,0.04668721979933965
r2t,CogFluidComp_Unadj,template,2,0.1819757271775424,0.179909543201239,0.030801218188430735
r2t,CogFluidComp_Unadj,final,2,0.18381146895188677,0.18803463031538542,-0.014025705655710707
r2t_corr,CogFluidComp_Unadj,template,2,0.07415159076331528,0.059964561767125245,0.00011841080189400888
r2t_corr,CogFluidComp_Unadj,final,2,0.07076388959406514,0.059293522215017005,-0.06389546019782322
SC_r2t,CogFluidComp_Unadj,template,2,0.18197574666544214,0.179909543201239,0.030801227517476937
SC_r2t,CogFluidComp_Unadj,final,2,0.18381154145079487,0.18803463031538542,-0.014025592504149254
FC,CogFluidComp_Unadj,template,2,0.27906330442462657,0.26231971028533807,0.07108150900027999
FC,CogFluidComp_Unadj,final,2,0.2759348143871166,0.25695222849478067,0.05824612883526026
bv+demo,CogCrystalComp_Unadj,template,2,0.4447527882976821,0.3943358575319951,0.18495123380781675
bv+demo,CogCrystalComp_Unadj,final,2,0.4454536088390854,0.3988730949233516,0.19758351200564672
SC,CogCrystalComp_Unadj,template,2,0.25094630931639295,0.25904898468795523,0.058399662211150005
SC,CogCrystalComp_Unadj,final,2,0.24939674376345036,0.25576440352663626,0.046110887650895105
r2t,CogCrystalComp_Unadj,template,2,0.10075317034125619,0.133586723787639,-0.007113460771172475
r2t,CogCrystalComp_Unadj,final,2,0.10774866771312695,0.13574003013655986,-0.09376379919084488
r2t_corr,CogCrystalComp_Unadj,template,2,0.006813066537489143,0.0060536959023965355,-0.008667590689725335
r2t_corr,CogCrystalComp_Unadj,final,2,0.014948991400328364,0.011044090586272946,-0.06949221980585718
SC_r2t,CogCrystalComp_Unadj,template,2,0.10075325352953632,0.133586723787639,-0.007113472498241347
SC_r2t,CogCrystalComp_Unadj,final,2,0.10774847615240263,0.13574003013655986,-0.09376422432860299
FC,CogCrystalComp_Unadj,template,2,0.5806218024800773,0.5479917849121133,0.29718066875841775
FC,CogCrystalComp_Unadj,final,2,0.5825388042985472,0.5481463439172406,0.33501382779707367
bv+demo,CogTotalComp_Unadj,template,3,0.3474523573853499,0.35910873248006475,0.112691194610957
bv+demo,CogTotalComp_Unadj,final,3,0.335408298540741,0.331052793766542,0.08764554554675774
SC,CogTotalComp_Unadj,template,3,0.057888318044886394,0.07679170188115778,-0.030558556999843445
SC,CogTotalComp_Unadj,final,3,0.05952193327254118,0.07519833172462688,-0.1561072324241397
r2t,CogTotalComp_Unadj,template,3,0.21267390382537263,0.2355395994672317,0.04405378281407579
r2t,CogTotalComp_Unadj,final,3,0.21442558166390127,0.23846576832757488,-0.0110017529305102
r2t_corr,CogTotalComp_Unadj,template,3,0.049654770970449236,0.023884367785682824,-0.009757299548251774
r2t_corr,CogTotalComp_Unadj,final,3,0.05049442794066033,0.028974412622950144,-0.10250849115994853
SC_r2t,CogTotalComp_Unadj,template,3,0.21267281816857964,0.23544896591845998,0.04405330488980386
SC_r2t,CogTotalComp_Unadj,final,3,0.21442431050135594,0.23846576832757488,-0.011003086379783644
FC,CogTotalComp_Unadj,template,3,0.4460400855752401,0.40104778871793695,0.18287047181238103
FC,CogTotalComp_Unadj,final,3,0.4436831885673343,0.39524643236843465,0.18888037101232136
bv+demo,CogFluidComp_Unadj,template,3,0.2541761187499937,0.2869047464927765,0.06294119300413581
bv+demo,CogFluidComp_Unadj,final,3,0.21485076523062976,0.2168637358238094,0.021816239455250463
SC,CogFluidComp_Unadj,template,3,0.08491021381731664,0.06103452405645935,0.004071268881709389
SC,CogFluidComp_Unadj,final,3,0.0858412238432177,0.061889857061798136,-0.07047256458645856
