rep,estimator,metric,median_FC_to_X,median_X_to_FC,asym_FCwins
SC,linear_PLS,demeaned_pearson,0.13549304008483887,0.08469865471124649,1.6207301052708392
SC,linear_PLS,pearson,0.9124697148799896,0.8292235136032104,1.1009129324065996
SC,linear_PLS,top1_acc,0.11794871794871795,0.05128205128205128,2.5625
SC,linear_PLS,avg_rank,0.8786901571802895,0.7128073635765944,1.2251071492597567
SC,linear_PLS,mse,0.005532642360776663,0.014294767286628485,2.5939157080302717
SC,linear_PLS,r2,-0.022047441452741623,-0.05715753138065338,0.035954732447862625
SC,KR,demeaned_pearson,0.13338958472013474,0.08116323873400688,1.638302058427316
SC,KR,pearson,0.9150165319442749,0.8355161547660828,1.0958771179382003
SC,KR,top1_acc,0.15897435897435896,0.04871794871794872,3.422222222222222
SC,KR,avg_rank,0.9103651478906581,0.7312900724029902,1.251472800608931
SC,KR,mse,0.005400867899879813,0.013801907654851675,2.5776074384784415
SC,KR,r2,0.002030515519436449,-0.020517711527645588,0.023132436093874276
r2t,linear_PLS,demeaned_pearson,0.11128220334649086,0.0492535550147295,2.2643255403279627
r2t,linear_PLS,pearson,0.8452560901641846,0.8153221607208252,1.0368464903118264
r2t,linear_PLS,top1_acc,0.028205128205128206,0.020512820512820513,
r2t,linear_PLS,avg_rank,0.7212443844623145,0.6089940828402367,1.1850146653425706
r2t,linear_PLS,mse,536456.0625,0.015368718653917313,2.8354452236153304e-08
r2t,linear_PLS,r2,0.3233712464570999,-0.1270444579422474,0.445892583578825
r2t,KR,demeaned_pearson,0.11329822242259979,0.05064734257757664,2.266547307796069
r2t,KR,pearson,0.8517541289329529,0.8307076096534729,1.0252181557032747
r2t,KR,top1_acc,0.041025641025641026,0.023076923076923078,2.0625
r2t,KR,avg_rank,0.7497172912557528,0.6371319471313865,1.184592605748843
r2t,KR,mse,516625.234375,0.014160814695060253,2.7174351138186274e-08
r2t,KR,r2,0.6169382631778717,-0.04109392873942852,0.6580321919173002
r2t_corr,linear_PLS,demeaned_pearson,0.05815686844289303,0.03624880686402321,1.6342138727108124
r2t_corr,linear_PLS,pearson,0.8070787489414215,0.8231292963027954,0.981275683426428
r2t_corr,linear_PLS,top1_acc,0.02564102564102564,0.017948717948717947,1.8250000000000002
r2t_corr,linear_PLS,avg_rank,0.7092307692307692,0.607034845496384,1.1748693938504853
r2t_corr,linear_PLS,mse,0.01736251823604107,0.014812104869633913,0.8538565614921128
r2t_corr,linear_PLS,r2,-6.975657939910889,-0.09090656787157059,-6.883889861404896
r2t_corr,KR,demeaned_pearson,0.06046193279325962,0.041199056431651115,1.486949525972264
r2t_corr,KR,pearson,0.8140442073345184,0.8324380815029144,0.9788050088759572
r2t_corr,KR,top1_acc,0.041025641025641026,0.02812663526949241,1.75
r2t_corr,KR,avg_rank,0.7443320484616179,0.6286785009861933,1.176475437463929
r2t_corr,KR,mse,0.01678524725139141,0.014072293415665627,0.8416030216185426
r2t_corr,KR,r2,-3.7753987312316895,-0.03714882954955101,-3.73753958940506
