rep,estimator,target,seed,pearson,spearman,r2
r2t,HGB,CogTotalComp_Unadj,1,0.18561089784224427,0.21642658815801374,0.015009709003076632
r2t,KR,CogTotalComp_Unadj,1,0.037521736855236576,0.008265997269521467,-0.18010251361922847
r2t_corr,linear_BR,CogTotalComp_Unadj,1,0.21073724243553388,0.21653691226697605,0.023332709180064692
r2t_corr,HGB,CogTotalComp_Unadj,1,0.10063214274016899,0.09535908788497485,-0.002095092037903923
r2t_corr,KR,CogTotalComp_Unadj,1,0.18972911519616842,0.19396014228878564,-0.6396272394165101
FC,linear_BR,CogTotalComp_Unadj,1,0.46293495202323687,0.43347483137584786,0.20179275933753182
FC,HGB,CogTotalComp_Unadj,1,0.22167061569315427,0.20313158418229157,0.028290270708524967
FC,KR,CogTotalComp_Unadj,1,0.3940560223387283,0.37488968170243847,-1.436554424457662
SC_r2t,linear_BR,CogTotalComp_Unadj,1,0.27237089783257906,0.25944379655523053,0.049969556715769525
SC_r2t,HGB,CogTotalComp_Unadj,1,0.18561089784224427,0.21642658815801374,0.015009709003076632
SC_r2t,KR,CogTotalComp_Unadj,1,0.03752251653912389,0.008265997269521467,-0.18010248380500182
bv+demo,linear_BR,CogFluidComp_Unadj,1,0.327102745455908,0.3227098016813527,0.10181961016287489
bv+demo,HGB,CogFluidComp_Unadj,1,0.2817417754197764,0.30646685066698476,0.06391806168554859
bv+demo,KR,CogFluidComp_Unadj,1,0.19103496510616125,0.16784727885586692,-0.0621568999167772
SC,linear_BR,CogFluidComp_Unadj,1,0.24310411122717926,0.2430913841310905,0.03731468112203851
SC,HGB,CogFluidComp_Unadj,1,0.17828646211925772,0.1748403925694903,0.014355706720805328
SC,KR,CogFluidComp_Unadj,1,0.1276908430336593,0.14854435433985344,-1.4975804532237564
r2t,linear_BR,CogFluidComp_Unadj,1,0.21460353822857153,0.1621165906815915,-0.001583745022563976
r2t,HGB,CogFluidComp_Unadj,1,0.056795256238832616,0.047300258644165545,0.0010870720808060508
r2t,KR,CogFluidComp_Unadj,1,-0.010891015142272989,-0.041449999745739104,-0.3105445851678075
r2t_corr,linear_BR,CogFluidComp_Unadj,1,0.2413820314113208,0.22677248659339794,0.012442739263354596
r2t_corr,HGB,CogFluidComp_Unadj,1,0.249983712711351,0.2086216338567987,0.045339512108940605
