parcellation,anchor_pc,median_abs_cos,min_abs_cos,median_expl_var,median_FC_to_PC_R2,median_AUC_MZ,median_AUC_DZ,median_AUC_sibling
Glasser,1,0.9848871231079102,0.9812278151512146,0.03825817257165909,0.5921148657798767,0.8058693321473385,0.6194473543000761,0.43928619796506296
Glasser,2,0.9344807863235474,0.8328984379768372,0.015931658446788788,0.016904205083847046,0.6400043318171973,0.4705434002869441,0.5662398871262966
Glasser,3,0.8856036067008972,0.8252977132797241,0.014957249164581299,0.2246827781200409,0.7108254171233711,0.5992561140186301,0.580985139276909
Glasser,4,0.8955516219139099,0.8483000993728638,0.01346871629357338,0.12039768695831299,0.6804725299210594,0.5994136960600376,0.5795860361302922
Glasser,5,0.8675315380096436,0.7552958726882935,0.011850213631987572,0.10977596044540405,0.6061064425770308,0.5397217365967366,0.5628983016916352
Glasser,6,0.7835441827774048,0.6339475512504578,0.010793879628181458,0.06598314642906189,0.7189118488407107,0.6338388236993483,0.5633038953315492
Glasser,7,0.7121613025665283,0.5642414689064026,0.01015596091747284,0.09104537963867188,0.671046063774347,0.5914340754944782,0.5590862473554945
Glasser,8,0.7557827234268188,0.6113828420639038,0.009240563958883286,0.034739166498184204,0.5946128532713899,0.561344537815126,0.5430280198499153
Glasser,9,0.6277609467506409,0.4594094753265381,0.008823137730360031,0.031232178211212158,0.6228658536585365,0.5516225385352902,0.54914254432577
Glasser,10,0.5657932758331299,0.5055918097496033,0.008766023442149162,0.06258997321128845,0.6148642065521861,0.5453559255219447,0.5387403317033626
4S456Parcels,1,0.9830021858215332,0.979369580745697,0.038282815366983414,0.5767009854316711,0.8132215447154472,0.6354167603553755,0.443759431563693
4S456Parcels,2,0.9662295579910278,0.9444682002067566,0.019008442759513855,0.0753450095653534,0.7325916730328494,0.5197722567287786,0.5534244437469484
4S456Parcels,3,0.9417526721954346,0.8672807216644287,0.01460202969610691,0.0286637544631958,0.6586858367586865,0.5075984990619137,0.5571037653086289
4S456Parcels,4,0.9140551090240479,0.8379672765731812,0.01354602724313736,0.23606696724891663,0.7214345393030441,0.5987114787386527,0.5924928981348638
4S456Parcels,5,0.8577036261558533,0.717475175857544,0.012248788960278034,0.12399435043334961,0.63157666894509,0.5893327505827506,0.5477313472416734
4S456Parcels,6,0.8453909158706665,0.7143378257751465,0.011363042518496513,0.07853960990905762,0.6912832023943134,0.6384093165059558,0.5654069837811668
4S456Parcels,7,0.8431265950202942,0.6393257975578308,0.010447483509778976,0.13067102432250977,0.6855800110741971,0.5616151398831137,0.5778823158869069
4S456Parcels,8,0.7662367820739746,0.49487122893333435,0.009416844695806503,0.0725889801979065,0.677314556134761,0.5626978698456127,0.5384761559267537
4S456Parcels,9,0.6768485307693481,0.4602343440055847,0.008706698194146156,0.14399874210357666,0.7217559523809524,0.5800394231766781,0.5759224835789101
4S456Parcels,10,0.4512826204299927,0.27488619089126587,0.008636489510536194,0.09910392761230469,0.6476135377064169,0.5424320178760793,0.5481192837165377
