residual basis,FC->SC demeaned,SC->FC demeaned,ratio (demeaned),FC->SC top1,SC->FC top1,ratio (top1),ratio (avg_rank)
none,0.1322067528963089,0.08489642292261124,1.5572711822831946,0.15384615384615385,0.03076923076923077,5.0,1.1977482465854559
bv,0.07768893241882324,0.056083403527736664,1.3852392603170263,0.08205128205128205,0.015384615384615385,5.333333333333333,1.252574393902538
demo,0.08929707109928131,0.05646912008523941,1.5813434132582291,0.08717948717948718,0.020512820512820513,4.25,1.2164513883517676
bv+demo,0.06592991203069687,0.047572921961545944,1.3858705606519022,0.05641025641025641,0.02564102564102564,2.2,1.2198679252927116
