predictor,demeaned_r,top1,avg_rank
bv+demo -> SC,0.17625275254249573,0.14358974358974358,0.8755555555555555
FC raw       -> SC,0.1322067528963089,0.15384615384615385,0.8533070348454964
FC raw       -> SC_resid_bv+demo,0.06592991203069687,0.05641025641025641,0.7918474687705457
bv+demo -> FC,0.09003608673810959,0.015384615384615385,0.6661143984220907
SC raw       -> FC,0.08489642292261124,0.03076923076923077,0.7124260355029586
SC raw       -> FC_resid_bv+demo,0.047572921961545944,0.02564102564102564,0.6491255752794214
