predictor,demeaned_pearson,top1_acc,avg_rank
cross-modal only  -> SC (FC -> SC),0.1322067528963089,0.15384615384615385,0.8533070348454964
bv+demo only      -> SC,0.17625275254249573,0.14358974358974358,0.8755555555555555
combined [FC||bv||demo] -> SC,0.19404985010623932,0.2,0.9047205785667324
cross-modal only  -> FC (SC -> FC),0.08489642292261124,0.03076923076923077,0.7124260355029586
bv+demo only      -> FC,0.09003608673810959,0.015384615384615385,0.6661143984220907
combined [SC||bv||demo] -> FC,0.09987190365791321,0.06153846153846154,0.733517422748192
