framework,FC->SC_resid (dm),SC->FC_resid (dm),ratio (demeaned),FC->SC top1,SC->FC top1,ratio (top1),ratio (avg_rank)
target-resid only (Section 2),0.06592991203069687,0.047572921961545944,1.3858705606519022,0.05641025641025641,0.02564102564102564,2.2,1.2198679252927116
double-sided   (Experiment 4),0.07074691355228424,0.044605802744627,1.5860473122144647,0.07179487179487179,0.015384615384615385,4.666666666666666,1.2423256759503964
