basis,dims,->SC demeaned_r,->SC top1,->SC avg_rank,->FC demeaned_r,->FC top1,->FC avg_rank
group mean,0,0.0,0.005128205128205128,0.5,0.0,0.005128205128205128,0.5
bv,16,0.16698575019836426,0.10256410256410256,0.8789217619986851,0.046696074306964874,0.0,0.6325575279421434
demo,10,0.13284844160079956,0.02564102564102564,0.7302827087442472,0.0948357805609703,0.015384615384615385,0.6428928336620645
bv+demo,26,0.17625275254249573,0.14358974358974358,0.8755555555555555,0.09003608673810959,0.015384615384615385,0.6661143984220907
