model class,FC->SC_resid (dm),SC->FC_resid (dm),ratio (demeaned),ratio (top1),ratio (avg_rank)
PLS (Section 2),0.06592991203069687,0.047572921961545944,1.3858705606519022,2.2,1.2198679252927116
BR  (Experiment 5),0.07763317972421646,0.06042183190584183,1.2848531280083644,1.6666666666666665,1.0689906385458785
