label,r2_a,r2_x,r2_f,r2_uniq,pr_a,pr_x,pr_f
PLS partition target=SC,0.008185452720658397,0.0047275618922267915,0.006972937121222206,0.002234704077568352,0.059256069683696025,0.07114171213520962,0.07441797619467144
PLS partition target=FC,0.0019323723596337398,0.001066048475792994,0.0012547708410144353,0.0010851915803133725,0.027334222735666932,0.0714133406274007,0.0715959934899437
BR  partition target=SC,0.0069938707165420055,0.00958021474070847,0.011571669252589345,0.006553880637511611,0.043298535131498284,0.06865771307593604,0.07205485293980018
BR  partition target=FC,0.0027849399484694004,0.010224570287391543,0.010301891947165132,0.00819493643939495,0.037298916810414084,0.09656722285905062,0.09695033753860116
