label,model_class,direction,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
PLS residual FC->SC,PLS,FC->SC,0.0055083237,-0.04938028,0.0776911,0.812518080210388,0.08205128205128205,0.07768893241882324
PLS residual SC->FC,PLS,SC->FC,0.014280186,-0.070492215,0.05599341,0.6486785009861933,0.015384615384615385,0.056083403527736664
BR  residual FC->SC,BR,FC->SC,0.0052939598,-0.0060053365,0.09306038,0.8053648915187377,0.05641025641025641,0.09313812106847763
BR  residual SC->FC,BR,SC->FC,0.013451504,-0.008058218,0.06570458,0.6656936226166996,0.03076923076923077,0.06572851538658142
