method,jl_variant,seed,direction,demeaned_pearson,top1_acc,avg_rank
JL_PLS_PCA,gaussian_dense,0,FC->SC,0.07473482936620712,0.03076923076923077,0.7100591715976332
JL_PLS_PCA,gaussian_dense,0,SC->FC,0.04883961006999016,0.020512820512820513,0.6515713346482577
JL_PLS_PCA,gaussian_dense,1,FC->SC,0.08484962582588196,0.035897435897435895,0.7539776462853386
JL_PLS_PCA,gaussian_dense,1,SC->FC,0.061640236526727676,0.02564102564102564,0.6486785009861933
JL_PLS_PCA,gaussian_dense,2,FC->SC,0.07312165945768356,0.041025641025641026,0.7193688362919133
JL_PLS_PCA,gaussian_dense,2,SC->FC,0.06125104799866676,0.015384615384615385,0.6607495069033531
JL_PLS_PCA,gaussian_dense,3,FC->SC,0.08504095673561096,0.035897435897435895,0.7462984878369494
JL_PLS_PCA,gaussian_dense,3,SC->FC,0.06212267279624939,0.02564102564102564,0.6643261012491781
JL_PLS_PCA,gaussian_dense,4,FC->SC,0.08259120583534241,0.05641025641025641,0.7331229454306377
JL_PLS_PCA,gaussian_dense,4,SC->FC,0.06078684702515602,0.015384615384615385,0.6637212360289284
JL_PLS_PCA,gaussian_dense,5,FC->SC,0.0993637666106224,0.046153846153846156,0.7725969756738987
JL_PLS_PCA,gaussian_dense,5,SC->FC,0.05904405936598778,0.046153846153846156,0.6380013149243918
JL_PLS_PCA,gaussian_dense,6,FC->SC,0.09359791874885559,0.046153846153846156,0.7591058514135437
JL_PLS_PCA,gaussian_dense,6,SC->FC,0.04160717874765396,0.03076923076923077,0.6184089414858646
JL_PLS_PCA,gaussian_dense,7,FC->SC,0.08232107013463974,0.07692307692307693,0.7403813280736358
JL_PLS_PCA,gaussian_dense,7,SC->FC,0.054762039333581924,0.015384615384615385,0.6534122287968441
JL_PLS_PCA,gaussian_dense,8,FC->SC,0.09085873514413834,0.05128205128205128,0.7723076923076924
JL_PLS_PCA,gaussian_dense,8,SC->FC,0.06412211805582047,0.05128205128205128,0.6731623931623931
JL_PLS_PCA,gaussian_dense,9,FC->SC,0.08191748708486557,0.030612244897959183,0.7419304456476468
JL_PLS_PCA,gaussian_dense,9,SC->FC,0.06181349232792854,0.04081632653061224,0.636948146605581
JL_PLS_PCA,sparse_auto,0,FC->SC,0.08423080295324326,0.02564102564102564,0.7363839579224194
JL_PLS_PCA,sparse_auto,0,SC->FC,0.059816956520080566,0.046153846153846156,0.6553583168967785
JL_PLS_PCA,sparse_auto,1,FC->SC,0.08234608918428421,0.035897435897435895,0.7581328073635766
JL_PLS_PCA,sparse_auto,1,SC->FC,0.06100905314087868,0.02564102564102564,0.6609598948060487
JL_PLS_PCA,sparse_auto,2,FC->SC,0.06875481456518173,0.046153846153846156,0.7053254437869823
JL_PLS_PCA,sparse_auto,2,SC->FC,0.05659463256597519,0.005128205128205128,0.6444444444444445
JL_PLS_PCA,sparse_auto,3,FC->SC,0.08398772776126862,0.035897435897435895,0.7448783694937542
JL_PLS_PCA,sparse_auto,3,SC->FC,0.061274610459804535,0.03076923076923077,0.6677975016436555
JL_PLS_PCA,sparse_auto,4,FC->SC,0.08765755593776703,0.035897435897435895,0.7631032215647601
JL_PLS_PCA,sparse_auto,4,SC->FC,0.053372789174318314,0.015384615384615385,0.6568836291913216
JL_PLS_PCA,sparse_auto,5,FC->SC,0.08902271091938019,0.02564102564102564,0.7540039447731756
JL_PLS_PCA,sparse_auto,5,SC->FC,0.059605613350868225,0.015384615384615385,0.663405654174885
JL_PLS_PCA,sparse_auto,6,FC->SC,0.07893592864274979,0.041025641025641026,0.7122419460881
JL_PLS_PCA,sparse_auto,6,SC->FC,0.07119263708591461,0.020512820512820513,0.6608021038790269
JL_PLS_PCA,sparse_auto,7,FC->SC,0.07523488253355026,0.020512820512820513,0.7446679815910585
JL_PLS_PCA,sparse_auto,7,SC->FC,0.058748312294483185,0.046153846153846156,0.659776462853386
JL_PLS_PCA,sparse_auto,8,FC->SC,0.08914715051651001,0.046153846153846156,0.7560289283366206
JL_PLS_PCA,sparse_auto,8,SC->FC,0.046847980469465256,0.005128205128205128,0.6198290598290598
JL_PLS_PCA,sparse_auto,9,FC->SC,0.08725138008594513,0.05102040816326531,0.7715014577259476
JL_PLS_PCA,sparse_auto,9,SC->FC,0.05051087215542793,0.00510204081632653,0.64067055393586
JL_PLS_PCA,sparse_third,0,FC->SC,0.08565257489681244,0.05128205128205128,0.7623142669296515
JL_PLS_PCA,sparse_third,0,SC->FC,0.048231516033411026,0.02564102564102564,0.6247468770545693
JL_PLS_PCA,sparse_third,1,FC->SC,0.07967788726091385,0.03076923076923077,0.7445101906640368
JL_PLS_PCA,sparse_third,1,SC->FC,0.0550648458302021,0.015384615384615385,0.6572255095332018
JL_PLS_PCA,sparse_third,2,FC->SC,0.07614946365356445,0.020512820512820513,0.7388034188034188
JL_PLS_PCA,sparse_third,2,SC->FC,0.06165926903486252,0.005128205128205128,0.6665351742274819
JL_PLS_PCA,sparse_third,3,FC->SC,0.0854349285364151,0.035897435897435895,0.7403813280736358
JL_PLS_PCA,sparse_third,3,SC->FC,0.051494624465703964,0.020512820512820513,0.6383168967784352
JL_PLS_PCA,sparse_third,4,FC->SC,0.0834374874830246,0.035897435897435895,0.7586850756081525
JL_PLS_PCA,sparse_third,4,SC->FC,0.06706644594669342,0.05128205128205128,0.6858645627876397
JL_PLS_PCA,sparse_third,5,FC->SC,0.08251224458217621,0.010256410256410256,0.7524523339907955
JL_PLS_PCA,sparse_third,5,SC->FC,0.05190409719944,0.010256410256410256,0.6523076923076923
JL_PLS_PCA,sparse_third,6,FC->SC,0.08723661303520203,0.015384615384615385,0.7439579224194609
JL_PLS_PCA,sparse_third,6,SC->FC,0.0511099211871624,0.02564102564102564,0.6229059829059829
JL_PLS_PCA,sparse_third,7,FC->SC,0.08505664020776749,0.046153846153846156,0.7536620644312952
JL_PLS_PCA,sparse_third,7,SC->FC,0.06327743828296661,0.020512820512820513,0.6670611439842209
JL_PLS_PCA,sparse_third,8,FC->SC,0.08782752603292465,0.05128205128205128,0.7803813280736358
JL_PLS_PCA,sparse_third,8,SC->FC,0.0578392818570137,0.041025641025641026,0.6545956607495069
JL_PLS_PCA,sparse_third,9,FC->SC,0.08410666882991791,0.04591836734693878,0.7425031236984589
JL_PLS_PCA,sparse_third,9,SC->FC,0.050294116139411926,0.015306122448979591,0.6416597251145356
