method,jl_variant,n_seeds,median_ratio,min_ratio,max_ratio,wilcoxon_p_vs_1,median_FC_to_SC_dp,median_SC_to_FC_dp
FULL_PLS,,10.0,1.813151928854436,1.4933924484060974,2.1147728293969674,0.0009765625,0.1382060050964355,0.0761628299951553
JL_PLS_PCA,gaussian_dense,10.0,1.396746944904041,1.193802585374134,2.2495617719366083,0.0009765625,0.08372041583061215,0.06101894751191135
JL_PLS_PCA,sparse_auto,10.0,1.3894100183040294,1.1087653425099364,1.9029027425123426,0.0009765625,0.08410926535725591,0.05917696282267565
JL_PLS_PCA,sparse_third,10.0,1.5540905967587368,1.235004320445464,1.7758632102187921,0.0009765625,0.08458165451884264,0.05348447151482105
PCA_PLS_PCA,,10.0,1.6207322450732429,1.3236261518904318,1.860611805803144,0.0009765625,0.13549304008483884,0.08469881117343894
