method,jl_variant,seed,direction,demeaned_pearson,top1_acc,avg_rank
PCA_PLS_PCA,,0,FC->SC,0.13220682740211487,0.15384615384615385,0.8533070348454964
PCA_PLS_PCA,,0,SC->FC,0.08489612489938736,0.03076923076923077,0.7124523339907955
PCA_PLS_PCA,,1,FC->SC,0.13707809150218964,0.1282051282051282,0.8906245890861275
PCA_PLS_PCA,,1,SC->FC,0.08621358871459961,0.05128205128205128,0.7213149243918475
PCA_PLS_PCA,,2,FC->SC,0.12221767753362656,0.07692307692307693,0.8578829717291255
PCA_PLS_PCA,,2,SC->FC,0.08343014866113663,0.05128205128205128,0.7081919789612097
PCA_PLS_PCA,,3,FC->SC,0.1363220512866974,0.10256410256410256,0.8824194608809993
PCA_PLS_PCA,,3,SC->FC,0.07326732575893402,0.05641025641025641,0.6975936883629191
PCA_PLS_PCA,,4,FC->SC,0.140229269862175,0.11794871794871795,0.8900197238658777
PCA_PLS_PCA,,4,SC->FC,0.09147215634584427,0.05641025641025641,0.7437738330046022
PCA_PLS_PCA,,5,FC->SC,0.15015685558319092,0.14871794871794872,0.8936752136752136
PCA_PLS_PCA,,5,SC->FC,0.08463447540998459,0.05641025641025641,0.7131886916502301
PCA_PLS_PCA,,6,FC->SC,0.13351976871490479,0.1076923076923077,0.8564102564102565
PCA_PLS_PCA,,6,SC->FC,0.07686372101306915,0.041025641025641026,0.6869953977646286
PCA_PLS_PCA,,7,FC->SC,0.13357266783714294,0.11794871794871795,0.8674293228139383
PCA_PLS_PCA,,7,SC->FC,0.10091419517993927,0.06666666666666667,0.7385930309007231
PCA_PLS_PCA,,8,FC->SC,0.13998481631278992,0.11794871794871795,0.8811571334648258
PCA_PLS_PCA,,8,SC->FC,0.08476314693689346,0.041025641025641026,0.7249178172255095
PCA_PLS_PCA,,9,FC->SC,0.13466402888298035,0.1326530612244898,0.8763015410245731
PCA_PLS_PCA,,9,SC->FC,0.07565668225288391,0.04081632653061224,0.6929925031236984
