method,jl_variant,seed,FC->SC,SC->FC,ratio
FULL_PLS,,0,0.1380621641874313,0.0769979804754257,1.7930621470194863
FULL_PLS,,1,0.1380938440561294,0.0753276795148849,1.833241710689386
FULL_PLS,,2,0.1323160678148269,0.0829019173979759,1.5960555795065061
FULL_PLS,,3,0.1383181661367416,0.0817456096410751,1.6920562063707483
FULL_PLS,,4,0.1370988637208938,0.0686390027403831,1.9973900879569888
FULL_PLS,,5,0.1475575566291809,0.0714342594146728,2.0656413020623012
FULL_PLS,,6,0.1446426212787628,0.0683962926268577,2.1147728293969674
FULL_PLS,,7,0.1394108384847641,0.0840289965271949,1.6590801300316087
FULL_PLS,,8,0.1403035819530487,0.0729212909936904,1.924041388202914
FULL_PLS,,9,0.1374809294939041,0.0920594781637191,1.4933924484060974
JL_PLS_PCA,gaussian_dense,0,0.0747348293662071,0.0488396100699901,1.530209378394045
JL_PLS_PCA,gaussian_dense,1,0.0848496258258819,0.0616402365267276,1.3765298546362743
JL_PLS_PCA,gaussian_dense,2,0.0731216594576835,0.0612510479986667,1.193802585374134
JL_PLS_PCA,gaussian_dense,3,0.0850409567356109,0.0621226727962493,1.3689197986462893
JL_PLS_PCA,gaussian_dense,4,0.0825912058353424,0.060786847025156,1.3587019211765152
JL_PLS_PCA,gaussian_dense,5,0.0993637666106224,0.0590440593659877,1.682874918790913
JL_PLS_PCA,gaussian_dense,6,0.0935979187488555,0.0416071787476539,2.2495617719366083
JL_PLS_PCA,gaussian_dense,7,0.0823210701346397,0.0547620393335819,1.5032506301159185
JL_PLS_PCA,gaussian_dense,8,0.0908587351441383,0.0641221180558204,1.4169640351718076
JL_PLS_PCA,gaussian_dense,9,0.0819174870848655,0.0618134923279285,1.3252363521265347
JL_PLS_PCA,sparse_auto,0,0.0842308029532432,0.0598169565200805,1.4081425711615234
JL_PLS_PCA,sparse_auto,1,0.0823460891842842,0.0610090531408786,1.3497355711149186
JL_PLS_PCA,sparse_auto,2,0.0687548145651817,0.0565946325659751,1.2148645807538532
JL_PLS_PCA,sparse_auto,3,0.0839877277612686,0.0612746104598045,1.3706774654465355
JL_PLS_PCA,sparse_auto,4,0.087657555937767,0.0533727891743183,1.6423641577260066
JL_PLS_PCA,sparse_auto,5,0.0890227109193801,0.0596056133508682,1.4935289801540719
JL_PLS_PCA,sparse_auto,6,0.0789359286427497,0.0711926370859146,1.1087653425099364
JL_PLS_PCA,sparse_auto,7,0.0752348825335502,0.0587483122944831,1.2806305338002928
JL_PLS_PCA,sparse_auto,8,0.08914715051651,0.0468479804694652,1.9029027425123426
JL_PLS_PCA,sparse_auto,9,0.0872513800859451,0.0505108721554279,1.7273782130995945
JL_PLS_PCA,sparse_third,0,0.0856525748968124,0.048231516033411,1.7758632102187921
JL_PLS_PCA,sparse_third,1,0.0796778872609138,0.0550648458302021,1.4469828446738675
JL_PLS_PCA,sparse_third,2,0.0761494636535644,0.0616592690348625,1.235004320445464
JL_PLS_PCA,sparse_third,3,0.0854349285364151,0.0514946244657039,1.6591038272997969
JL_PLS_PCA,sparse_third,4,0.0834374874830246,0.0670664459466934,1.2441018202954042
JL_PLS_PCA,sparse_third,5,0.0825122445821762,0.05190409719944,1.5897058042475003
JL_PLS_PCA,sparse_third,6,0.087236613035202,0.0511099211871624,1.7068430357336135
JL_PLS_PCA,sparse_third,7,0.0850566402077674,0.0632774382829666,1.3441858980985875
JL_PLS_PCA,sparse_third,8,0.0878275260329246,0.0578392818570137,1.5184753892699734
JL_PLS_PCA,sparse_third,9,0.0841066688299179,0.0502941161394119,1.6722963894380782
PCA_PLS_PCA,,0,0.1322068274021148,0.0848961248993873,1.5572775266102747
PCA_PLS_PCA,,1,0.1370780915021896,0.0862135887145996,1.5899824325370706
PCA_PLS_PCA,,2,0.1222176775336265,0.0834301486611366,1.4649102212442526
PCA_PLS_PCA,,3,0.1363220512866974,0.073267325758934,1.860611805803144
PCA_PLS_PCA,,4,0.140229269862175,0.0914721563458442,1.533026829847397
PCA_PLS_PCA,,5,0.1501568555831909,0.0846344754099845,1.774180732565592
PCA_PLS_PCA,,6,0.1335197687149047,0.0768637210130691,1.7370973842419417
PCA_PLS_PCA,,7,0.1335726678371429,0.1009141951799392,1.3236261518904318
PCA_PLS_PCA,,8,0.1399848163127899,0.0847631469368934,1.6514820576094151
PCA_PLS_PCA,,9,0.1346640288829803,0.0756566822528839,1.7799356893930824
