seed,framework,direction,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank
4,baseline,bv -> SC,0.0052447664,0.009898202,0.91560763,0.16040584444999695,0.10256410256410256,0.863852728468113
4,baseline,bv -> FC,0.014001142,-0.024592742,0.8352279,0.04460204020142555,0.02564102564102564,0.6198816568047337
4,baseline,demo -> SC,0.005301623,0.0030182807,0.915397,0.1354336440563202,0.02564102564102564,0.7411702827087443
4,baseline,demo -> FC,0.013638963,-5.5155404e-05,0.8391473,0.1236550584435463,0.015384615384615385,0.6796318211702828
4,baseline,bv+demo -> SC,0.005277088,0.0020279307,0.9150789,0.16706298291683197,0.14358974358974358,0.8694806048652203
4,baseline,bv+demo -> FC,0.0138797285,-0.017452663,0.83609265,0.1028406023979187,0.03076923076923077,0.6796581196581197
4,target_only,FC->SC,0.0054604155,-0.052628968,0.07461997,0.07467302680015564,0.046153846153846156,0.8334253780407627
4,target_only,SC->FC,0.014553441,-0.0624279,0.047623288,0.04770255088806152,0.020512820512820513,0.6548323471400395
4,double_sided,FC->SC,0.0054704775,-0.05350039,0.07765447,0.07772577553987503,0.08205128205128205,0.8354240631163709
4,double_sided,SC->FC,0.014601448,-0.0658198,0.04954157,0.049533747136592865,0.035897435897435895,0.6503090072320842
