seed,framework,direction,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank
5,baseline,bv -> SC,0.005401445,0.008954633,0.91390693,0.1666962057352066,0.10256410256410256,0.8609072978303748
5,baseline,bv -> FC,0.01357961,-0.020921748,0.83850193,0.05791323632001877,0.005128205128205128,0.6490992767915844
5,baseline,demo -> SC,0.0054544513,0.0039001715,0.9138477,0.14888249337673187,0.010256410256410256,0.7833530571992111
5,baseline,demo -> FC,0.013356756,-0.005527757,0.8415084,0.10793650895357132,0.010256410256410256,0.6565680473372781
5,baseline,bv+demo -> SC,0.0054203686,0.0016555676,0.91362494,0.1779661327600479,0.11794871794871795,0.8760289283366206
5,baseline,bv+demo -> FC,0.013573715,-0.022265367,0.83861804,0.09836643189191818,0.020512820512820513,0.6845759368836292
5,target_only,FC->SC,0.0055714007,-0.039718743,0.077971324,0.0780898928642273,0.06153846153846154,0.8344247205785668
5,target_only,SC->FC,0.014384135,-0.07149269,0.04476835,0.044772323220968246,0.020512820512820513,0.6385009861932939
5,double_sided,FC->SC,0.0055866116,-0.040268123,0.078062735,0.07818722724914551,0.05128205128205128,0.8327942143326759
5,double_sided,SC->FC,0.014441524,-0.075103,0.04677963,0.04688942804932594,0.03076923076923077,0.6430506245890861
