seed,framework,direction,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank
2,baseline,bv -> SC,0.005330466,-0.0006315207,0.91481435,0.14435212314128876,0.09230769230769231,0.8330309007232084
2,baseline,bv -> FC,0.013908607,-0.01831485,0.833164,0.05329839140176773,0.010256410256410256,0.6357922419460881
2,baseline,demo -> SC,0.0053813295,-0.011835831,0.9147329,0.1145918071269989,0.020512820512820513,0.7652596975673899
2,baseline,demo -> FC,0.013631742,0.00040659335,0.83649653,0.1035684272646904,0.010256410256410256,0.6678238001314925
2,baseline,bv+demo -> SC,0.005367346,-0.009485277,0.9142348,0.14885184168815613,0.13846153846153847,0.8549638395792242
2,baseline,bv+demo -> FC,0.013844372,-0.015184757,0.83376694,0.09854081273078918,0.03076923076923077,0.6881788297172913
2,target_only,FC->SC,0.0055478076,-0.044881936,0.07249114,0.07253816723823547,0.09230769230769231,0.8095989480604865
2,target_only,SC->FC,0.014498642,-0.057053976,0.05434785,0.05443807691335678,0.046153846153846156,0.6632741617357003
2,double_sided,FC->SC,0.0055572283,-0.047941376,0.07727309,0.07733726501464844,0.10256410256410256,0.8239316239316239
2,double_sided,SC->FC,0.01455676,-0.061403092,0.056126803,0.05625424161553383,0.041025641025641026,0.6744510190664037
