seed,framework,direction,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank
9,baseline,bv -> SC,0.005252708,0.0126615325,0.91559374,0.16974341869354248,0.11224489795918367,0.885985006247397
9,baseline,bv -> FC,0.013832793,-0.018104063,0.8326528,0.051298145204782486,0.015306122448979591,0.6307788421491045
9,baseline,demo -> SC,0.005319214,-0.0008378839,0.91526407,0.13368214666843414,0.00510204081632653,0.7765514369012911
9,baseline,demo -> FC,0.013630869,-0.004255914,0.83483934,0.10982582718133926,0.00510204081632653,0.6428050812161599
9,baseline,bv+demo -> SC,0.005272973,0.0043177623,0.9152516,0.1798323392868042,0.1989795918367347,0.893768221574344
9,baseline,bv+demo -> FC,0.01384974,-0.020363573,0.8318639,0.10245315730571747,0.02040816326530612,0.6670137442732196
9,target_only,FC->SC,0.0054530855,-0.048654124,0.06931835,0.06936299800872803,0.08163265306122448,0.8051853394418992
9,target_only,SC->FC,0.014586741,-0.063709065,0.042785317,0.042922232300043106,0.02040816326530612,0.6439764681382758
9,double_sided,FC->SC,0.005474665,-0.052715383,0.07043846,0.07051098346710205,0.08673469387755102,0.805341524364848
9,double_sided,SC->FC,0.014626978,-0.066632345,0.042611826,0.042687684297561646,0.025510204081632654,0.6511609745939192
