seed,framework,direction,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank
8,baseline,bv -> SC,0.005428003,0.0058334763,0.913681,0.16001898050308228,0.12307692307692308,0.8686127547666009
8,baseline,bv -> FC,0.014269279,-0.035063732,0.8342043,0.046502694487571716,0.0,0.6156738987508219
8,baseline,demo -> SC,0.0054647047,-0.0008500412,0.91356343,0.12797178328037262,0.046153846153846156,0.7274950690335306
8,baseline,demo -> FC,0.013746422,0.0011030916,0.83989227,0.12546297907829285,0.015384615384615385,0.7105062458908613
8,baseline,bv+demo -> SC,0.0054733017,-0.0033989367,0.91297644,0.1633181869983673,0.14871794871794872,0.8567521367521367
8,baseline,bv+demo -> FC,0.0141348615,-0.026922604,0.8355123,0.10384006798267365,0.03076923076923077,0.7036949375410915
8,target_only,FC->SC,0.0056612133,-0.045918044,0.07099743,0.0710335299372673,0.06666666666666667,0.8267718606180144
8,target_only,SC->FC,0.014824616,-0.059981998,0.048056602,0.04818937927484512,0.010256410256410256,0.6547271531886917
8,double_sided,FC->SC,0.005670703,-0.045827996,0.0744789,0.0745161846280098,0.07179487179487179,0.8430769230769231
8,double_sided,SC->FC,0.014849935,-0.06157646,0.050721195,0.05083736404776573,0.015384615384615385,0.6616436554898093
