seed,framework,direction,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank
1,baseline,bv -> SC,0.0053509776,0.013434996,0.91470355,0.1679498851299286,0.1076923076923077,0.884681130834977
1,baseline,bv -> FC,0.014082216,-0.02245875,0.8268277,0.04094073548913002,0.015384615384615385,0.6099934253780408
1,baseline,demo -> SC,0.0054293987,-9.308263e-05,0.9142144,0.13827137649059296,0.015384615384615385,0.7847731755424063
1,baseline,demo -> FC,0.013650903,0.005628969,0.8322211,0.12486167252063751,0.015384615384615385,0.6918080210387902
1,baseline,bv+demo -> SC,0.005380386,0.004168305,0.91423416,0.17764107882976532,0.13846153846153847,0.8912557527942143
1,baseline,bv+demo -> FC,0.013922195,-0.01419752,0.82869655,0.10648227483034134,0.020512820512820513,0.6985404339250494
1,target_only,FC->SC,0.005572952,-0.04292139,0.06453974,0.06455318629741669,0.05128205128205128,0.8053911900065747
1,target_only,SC->FC,0.014719376,-0.06597988,0.04098401,0.040853437036275864,0.02564102564102564,0.636370808678501
1,double_sided,FC->SC,0.0055822553,-0.043417316,0.06827607,0.06832031905651093,0.035897435897435895,0.8191715976331361
1,double_sided,SC->FC,0.014786797,-0.0709187,0.041438926,0.04123475402593613,0.020512820512820513,0.6348717948717948
