seed,bv -> SC,bv -> FC,demo -> SC,demo -> FC,bv+demo -> SC,bv+demo -> FC,FC->SC_res (dm),SC->FC_res (dm),ratio target-only,FC_res->SC_res,SC_res->FC_res,ratio double-sided
0,0.16698575019836426,0.046696074306964874,0.13284844160079956,0.0948357805609703,0.17625275254249573,0.09003608673810959,0.06592991203069687,0.047572921961545944,1.3858705606519022,0.07074691355228424,0.044605802744627,1.5860473122144647
1,0.1679498851299286,0.04094073548913002,0.13827137649059296,0.12486167252063751,0.17764107882976532,0.10648227483034134,0.06455318629741669,0.040853437036275864,1.5801164107709371,0.06832031905651093,0.04123475402593613,1.6568625342966354
2,0.14435212314128876,0.05329839140176773,0.1145918071269989,0.1035684272646904,0.14885184168815613,0.09854081273078918,0.07253816723823547,0.05443807691335678,1.3324895248170991,0.07733726501464844,0.05625424161553383,1.3747810439469657
3,0.16088666021823883,0.05495167151093483,0.1324784904718399,0.12557420134544373,0.17264525592327118,0.11390824615955353,0.06382110714912415,0.044893376529216766,1.4216152155004234,0.07004918158054352,0.05027739703655243,1.393253941321121
4,0.16040584444999695,0.04460204020142555,0.1354336440563202,0.1236550584435463,0.16706298291683197,0.1028406023979187,0.07467302680015564,0.04770255088806152,1.565388546524123,0.07772577553987503,0.049533747136592865,1.569147904872624
5,0.1666962057352066,0.05791323632001877,0.14888249337673187,0.10793650895357132,0.1779661327600479,0.09836643189191818,0.0780898928642273,0.044772323220968246,1.7441554792415912,0.07818722724914551,0.04688942804932594,1.6674809333757588
6,0.164877787232399,0.04832488298416138,0.12510323524475098,0.11334501206874847,0.1692107915878296,0.10237009823322296,0.06794848293066025,0.037825629115104675,1.7963609468038377,0.07300683856010437,0.04271819442510605,1.7090338096592699
7,0.16203641891479492,0.04585909843444824,0.1377425193786621,0.11385191231966019,0.17777885496616364,0.09971387684345245,0.06211629882454872,0.05477854982018471,1.1339529620344242,0.07096537947654724,0.048751700669527054,1.455649310730716
8,0.16001898050308228,0.046502694487571716,0.12797178328037262,0.12546297907829285,0.1633181869983673,0.10384006798267365,0.0710335299372673,0.04818937927484512,1.4740494898706205,0.0745161846280098,0.05083736404776573,1.4657759312224752
9,0.16974341869354248,0.051298145204782486,0.13368214666843414,0.10982582718133926,0.1798323392868042,0.10245315730571747,0.06936299800872803,0.042922232300043106,1.6160156238812018,0.07051098346710205,0.042687684297561646,1.6517875032900227
