seed,framework,direction,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank
6,baseline,bv -> SC,0.0052812933,0.011473764,0.9158951,0.164877787232399,0.07179487179487179,0.8617488494411571
6,baseline,bv -> FC,0.013715602,-0.025114046,0.836092,0.04832488298416138,0.005128205128205128,0.62077580539119
6,baseline,demo -> SC,0.0053751664,-0.007986978,0.9154264,0.12510323524475098,0.02564102564102564,0.7019066403681788
6,baseline,demo -> FC,0.013423055,-0.004601756,0.8397132,0.11334501206874847,0.020512820512820513,0.6555161078238001
6,baseline,bv+demo -> SC,0.0053210617,0.0004014333,0.915237,0.1692107915878296,0.13333333333333333,0.8565154503616041
6,baseline,bv+demo -> FC,0.013667778,-0.023483407,0.83647287,0.10237009823322296,0.015384615384615385,0.6756607495069034
6,target_only,FC->SC,0.0055072485,-0.055336047,0.06783089,0.06794848293066025,0.06666666666666667,0.7901906640368179
6,target_only,SC->FC,0.014457389,-0.0716278,0.03781391,0.037825629115104675,0.020512820512820513,0.6247994740302433
6,double_sided,FC->SC,0.0055212276,-0.059031148,0.07291013,0.07300683856010437,0.11282051282051282,0.8053385930309007
6,double_sided,SC->FC,0.01446962,-0.07263197,0.042723995,0.04271819442510605,0.020512820512820513,0.6396055226824457
