task,parcellation,seed,estimator,variant,input_set,target
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",pred_SC+bv+demo,CogCryst
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",pred_SC+bv+demo,CogCryst
downstream,Glasser,3,pca_pls,pca_pls,pred_SC+bv+demo,sex
downstream,Glasser,3,bayesian_ridge,bayesian_ridge,pred_SC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_SC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_SC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_SC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_SC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_SC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_SC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",pred_SC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",pred_SC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",pred_SC+bv+demo,sex
downstream,Glasser,3,pca_pls,pca_pls,pred_SC+bv+demo,age
downstream,Glasser,3,bayesian_ridge,bayesian_ridge,pred_SC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_SC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_SC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_SC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_SC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_SC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_SC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",pred_SC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",pred_SC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",pred_SC+bv+demo,age
downstream,Glasser,3,pca_pls,pca_pls,pred_FC+bv+demo,CogTotal
downstream,Glasser,3,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,CogTotal
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_FC+bv+demo,CogTotal
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_FC+bv+demo,CogTotal
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_FC+bv+demo,CogTotal
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_FC+bv+demo,CogTotal
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_FC+bv+demo,CogTotal
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_FC+bv+demo,CogTotal
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",pred_FC+bv+demo,CogTotal
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",pred_FC+bv+demo,CogTotal
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",pred_FC+bv+demo,CogTotal
downstream,Glasser,3,pca_pls,pca_pls,pred_FC+bv+demo,CogFluid
downstream,Glasser,3,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,CogFluid
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_FC+bv+demo,CogFluid
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_FC+bv+demo,CogFluid
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_FC+bv+demo,CogFluid
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_FC+bv+demo,CogFluid
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_FC+bv+demo,CogFluid
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_FC+bv+demo,CogFluid
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",pred_FC+bv+demo,CogFluid
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",pred_FC+bv+demo,CogFluid
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",pred_FC+bv+demo,CogFluid
downstream,Glasser,3,pca_pls,pca_pls,pred_FC+bv+demo,CogCryst
downstream,Glasser,3,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,CogCryst
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_FC+bv+demo,CogCryst
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_FC+bv+demo,CogCryst
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_FC+bv+demo,CogCryst
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_FC+bv+demo,CogCryst
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_FC+bv+demo,CogCryst
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_FC+bv+demo,CogCryst
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",pred_FC+bv+demo,CogCryst
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",pred_FC+bv+demo,CogCryst
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",pred_FC+bv+demo,CogCryst
downstream,Glasser,3,pca_pls,pca_pls,pred_FC+bv+demo,sex
downstream,Glasser,3,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_FC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_FC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_FC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_FC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_FC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_FC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",pred_FC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",pred_FC+bv+demo,sex
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",pred_FC+bv+demo,sex
downstream,Glasser,3,pca_pls,pca_pls,pred_FC+bv+demo,age
downstream,Glasser,3,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_FC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_FC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_FC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_FC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_FC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_FC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",pred_FC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",pred_FC+bv+demo,age
downstream,Glasser,3,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",pred_FC+bv+demo,age
reconstruction,Glasser,4,pca_pls,pca_pls,FC,SC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,FC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",FC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",FC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",FC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",FC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",FC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",FC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",FC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",FC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",FC,SC
reconstruction,Glasser,4,pca_pls,pca_pls,SC,FC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,SC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",SC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",SC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",SC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",SC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",SC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",SC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",SC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",SC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",SC,FC
reconstruction,Glasser,4,pca_pls,pca_pls,bv,SC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,bv,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv,SC
reconstruction,Glasser,4,pca_pls,pca_pls,bv,FC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,bv,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv,FC
reconstruction,Glasser,4,pca_pls,pca_pls,demo,SC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",demo,SC
reconstruction,Glasser,4,pca_pls,pca_pls,demo,FC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",demo,FC
reconstruction,Glasser,4,pca_pls,pca_pls,bv+demo,SC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv+demo,SC
reconstruction,Glasser,4,pca_pls,pca_pls,bv+demo,FC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv+demo,FC
reconstruction,Glasser,4,pca_pls,pca_pls,FC+bv+demo,SC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,FC+bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",FC+bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",FC+bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",FC+bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",FC+bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",FC+bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",FC+bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",FC+bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",FC+bv+demo,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",FC+bv+demo,SC
reconstruction,Glasser,4,pca_pls,pca_pls,SC+bv+demo,FC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,SC+bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",SC+bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",SC+bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",SC+bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",SC+bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",SC+bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",SC+bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",SC+bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",SC+bv+demo,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",SC+bv+demo,FC
reconstruction,Glasser,4,pca_pls,pca_pls,FC,FC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,FC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",FC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",FC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",FC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",FC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",FC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",FC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",FC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",FC,FC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",FC,FC
reconstruction,Glasser,4,pca_pls,pca_pls,SC,SC
reconstruction,Glasser,4,bayesian_ridge,bayesian_ridge,SC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",SC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",SC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",SC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",SC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",SC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",SC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",SC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",SC,SC
reconstruction,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",SC,SC
downstream,Glasser,4,pca_pls,pca_pls,bv+demo,CogTotal
downstream,Glasser,4,bayesian_ridge,bayesian_ridge,bv+demo,CogTotal
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,CogTotal
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,CogTotal
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,CogTotal
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,CogTotal
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,CogTotal
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,CogTotal
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,CogTotal
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv+demo,CogTotal
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv+demo,CogTotal
downstream,Glasser,4,pca_pls,pca_pls,bv+demo,CogFluid
downstream,Glasser,4,bayesian_ridge,bayesian_ridge,bv+demo,CogFluid
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,CogFluid
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,CogFluid
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,CogFluid
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,CogFluid
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,CogFluid
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,CogFluid
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,CogFluid
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv+demo,CogFluid
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv+demo,CogFluid
downstream,Glasser,4,pca_pls,pca_pls,bv+demo,CogCryst
downstream,Glasser,4,bayesian_ridge,bayesian_ridge,bv+demo,CogCryst
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,CogCryst
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,CogCryst
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,CogCryst
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,CogCryst
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,CogCryst
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,CogCryst
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,CogCryst
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv+demo,CogCryst
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv+demo,CogCryst
downstream,Glasser,4,pca_pls,pca_pls,bv+demo,sex
downstream,Glasser,4,bayesian_ridge,bayesian_ridge,bv+demo,sex
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,sex
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,sex
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,sex
downstream,Glasser,4,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,sex
