task,parcellation,seed,estimator,variant,input_set,target
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",demo,FC
reconstruction,Glasser,0,pca_pls,pca_pls,bv+demo,SC
reconstruction,Glasser,0,bayesian_ridge,bayesian_ridge,bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv+demo,SC
reconstruction,Glasser,0,pca_pls,pca_pls,bv+demo,FC
reconstruction,Glasser,0,bayesian_ridge,bayesian_ridge,bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv+demo,FC
reconstruction,Glasser,0,pca_pls,pca_pls,FC+bv+demo,SC
reconstruction,Glasser,0,bayesian_ridge,bayesian_ridge,FC+bv+demo,SC
