parcellation,input_set,target,n,post_mean,post_sd,hdi_lo,hdi_hi,P_gt0,P_gt_rope,P_in_rope,decision,BF10
4S456Parcels,pred_SC,CogCryst,10,-0.0115,0.037,-0.0952,0.0722,0.3813,0.2082,0.38,undecided,0.322
4S456Parcels,pred_FC,CogTotal,10,-0.088,0.0266,-0.1481,-0.0279,0.0045,0.0014,0.014,credibly below baseline,6.7083
4S456Parcels,pred_FC,CogFluid,10,-0.0718,0.0222,-0.1221,-0.0215,0.0052,0.0013,0.0211,credibly below baseline,6.0456
4S456Parcels,pred_FC,CogCryst,10,-0.1089,0.0274,-0.1709,-0.0468,0.0016,0.0006,0.0045,credibly below baseline,15.3916
4S456Parcels,pred_SC+bv+demo,CogTotal,10,0.0477,0.0174,0.0083,0.0872,0.9885,0.9269,0.0713,undecided,3.2111
4S456Parcels,pred_SC+bv+demo,CogFluid,10,0.0415,0.0137,0.0105,0.0725,0.9929,0.9245,0.0747,undecided,4.6689
4S456Parcels,pred_SC+bv+demo,CogCryst,10,0.0563,0.0219,0.0067,0.1059,0.9848,0.9338,0.0627,undecided,2.5814
4S456Parcels,pred_FC+bv+demo,CogTotal,10,-0.0251,0.0193,-0.0688,0.0186,0.1129,0.0222,0.3765,undecided,0.6022
4S456Parcels,pred_FC+bv+demo,CogFluid,10,-0.0235,0.0183,-0.065,0.0179,0.1156,0.0208,0.405,undecided,0.593
4S456Parcels,pred_FC+bv+demo,CogCryst,10,-0.0281,0.0179,-0.0687,0.0125,0.0761,0.0126,0.319,undecided,0.7848
