parcellation,FC_FC,SC_SC,FC_SC,SC_FC,SCFC_frac_of_FCFC,FCSC_frac_of_SCSC
Glasser,0.4515,0.3763,0.136,0.0842,0.1865,0.3614
4S456Parcels,0.418,0.3855,0.1465,0.0872,0.2087,0.38
