parcellation,input_set,target,n,mean_lift,sd,ci_lo,ci_hi,p_seed_ttest,p_perm_median,p_tost_equiv,equivalent_to_zero,mde_80,p_perm_fdr,sig_fdr_05,p_fdr_affirm_family,sig_affirm_05
Glasser,obs_SC+bv+demo,CogCryst,10,-0.0348,0.065,-0.0813,0.0117,0.1244,0.6039,0.7556,False,0.0647,0.9765,False,,False
Glasser,obs_SC+bv+demo,CogFluid,10,-0.0664,0.0432,-0.0973,-0.0355,0.0009,0.937,0.996,False,0.0429,0.9765,False,,False
Glasser,obs_SC+bv+demo,CogTotal,10,-0.0498,0.0534,-0.088,-0.0115,0.0163,0.8243,0.9441,False,0.0532,0.9765,False,,False
Glasser,pred_FC,CogCryst,10,-0.1353,0.0721,-0.1868,-0.0837,0.0002,0.9603,0.9997,False,0.0717,0.9765,False,,False
Glasser,pred_FC,CogFluid,10,-0.0966,0.0448,-0.1286,-0.0646,0.0001,0.9533,0.9998,False,0.0445,0.9765,False,,False
Glasser,pred_FC,CogTotal,10,-0.1126,0.0523,-0.15,-0.0753,0.0001,0.9403,0.9998,False,0.052,0.9765,False,,False
Glasser,pred_FC+bv+demo,CogCryst,10,-0.0399,0.044,-0.0714,-0.0085,0.0185,0.8133,0.9071,False,0.0438,0.9765,False,,False
Glasser,pred_FC+bv+demo,CogFluid,10,-0.0383,0.0432,-0.0692,-0.0074,0.0205,0.8656,0.8935,False,0.0429,0.9765,False,,False
Glasser,pred_FC+bv+demo,CogTotal,10,-0.0378,0.042,-0.0678,-0.0077,0.0193,0.8323,0.893,False,0.0418,0.9765,False,,False
Glasser,pred_SC,CogCryst,10,-0.0097,0.072,-0.0612,0.0418,0.6803,0.5822,0.3309,False,0.0717,0.9765,False,,False
Glasser,pred_SC,CogFluid,10,-0.0527,0.0618,-0.0969,-0.0085,0.0244,0.8751,0.9359,False,0.0614,0.9765,False,,False
Glasser,pred_SC,CogTotal,10,-0.0178,0.0552,-0.0573,0.0216,0.3334,0.6507,0.4521,False,0.0549,0.9765,False,,False
Glasser,pred_SC+bv+demo,CogCryst,10,0.0607,0.0355,0.0353,0.086,0.0004,0.037,0.9972,False,0.0353,0.2444,False,,False
Glasser,pred_SC+bv+demo,CogFluid,10,0.0215,0.0379,-0.0056,0.0486,0.1059,0.5097,0.5494,False,0.0377,0.9765,False,,False
Glasser,pred_SC+bv+demo,CogTotal,10,0.0397,0.0267,0.0206,0.0588,0.0011,0.1232,0.9778,False,0.0266,0.4158,False,,False
