task,parcellation,seed,estimator,variant,input_set,source,target,is_block,n_train,n_test,n_src_feat,n_tgt_feat,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank,status,git_commit,config_hash,data_load_mode,hp_gamma_mult,hp_alpha
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",SC,SC,FC,False,683,195,103740,103740,0.0121908718720078,-0.0278929658234119,0.8192015886306763,0.0776504352688789,0.0512820512820512,0.7353583168967784,ok,6b5eb84,e6d67ecf,precomputed,2.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",SC,SC,FC,False,683,195,103740,103740,0.0119516002014279,-0.0049339393153786,0.8230648636817932,0.0760593488812446,0.041025641025641,0.7371729125575279,ok,6b5eb84,40b434ac,precomputed,2.0,10.0
reconstruction,4S456Parcels,0,pca_pls,pca_pls,bv,bv,SC,False,683,195,16,103740,0.004297534469515,0.0169688202440738,0.9143185615539552,0.1884992867708206,0.1487179487179487,0.9098750821827744,ok,6b5eb84,0c8b0c54,precomputed,,
reconstruction,4S456Parcels,0,bayesian_ridge,bayesian_ridge,bv,bv,SC,False,683,195,16,103740,0.0042692204006016,0.0260038673877716,0.9149307608604432,0.191890463232994,0.1076923076923077,0.9047731755424064,ok,6b5eb84,64d182dd,precomputed,,
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv,bv,SC,False,683,195,16,103740,0.0044681383296847,-0.0177671480923891,0.9108556509017944,0.1602703183889389,0.0717948717948717,0.8329257067718606,ok,6b5eb84,1e90196f,precomputed,0.5,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv,bv,SC,False,683,195,16,103740,0.0043010599911212,0.0184300150722265,0.9143393635749816,0.1847199499607086,0.2,0.9011176857330704,ok,6b5eb84,cf28a61e,precomputed,0.5,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv,bv,SC,False,683,195,16,103740,0.0042969239875674,0.0247349925339221,0.9149439334869384,0.1884100437164306,0.1794871794871795,0.916449704142012,ok,6b5eb84,1d5d7337,precomputed,0.5,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv,bv,SC,False,683,195,16,103740,0.0046341978013515,-0.051487423479557,0.907446265220642,0.1399348527193069,0.0512820512820512,0.7684418145956607,ok,6b5eb84,45dd9f1e,precomputed,1.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv,bv,SC,False,683,195,16,103740,0.0043398314155638,0.0104624386876821,0.913538694381714,0.1749902963638305,0.1692307692307692,0.8863642340565417,ok,6b5eb84,7c6e6818,precomputed,1.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv,bv,SC,False,683,195,16,103740,0.0042864051647484,0.0261097140610218,0.9150065779685974,0.1868667602539062,0.1846153846153846,0.9178698224852072,ok,6b5eb84,c8758845,precomputed,1.0,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv,bv,SC,False,683,195,16,103740,0.0049233720637857,-0.1101654767990112,0.901577651500702,0.1132707446813583,0.041025641025641,0.7019592373438528,ok,6b5eb84,3b856aa7,precomputed,2.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv,bv,SC,False,683,195,16,103740,0.0044074850156903,-0.0025489996187388,0.9121741652488708,0.1590681672096252,0.1025641025641025,0.8710059171597633,ok,6b5eb84,5e604b01,precomputed,2.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv,bv,SC,False,683,195,16,103740,0.0042922561988234,0.0250024572014808,0.914886236190796,0.1831264942884445,0.1794871794871795,0.9110059171597632,ok,6b5eb84,60c0632b,precomputed,2.0,10.0
reconstruction,4S456Parcels,0,pca_pls,pca_pls,bv,bv,FC,False,683,195,16,103740,0.0121450806036591,-0.0201563332229852,0.8200969696044922,0.0438094325363636,0.0153846153846153,0.6263247863247863,ok,6b5eb84,aac04d29,precomputed,,
reconstruction,4S456Parcels,0,bayesian_ridge,bayesian_ridge,bv,bv,FC,False,683,195,16,103740,0.0119868032634258,-0.0070982761681079,0.822509765625,0.042744617909193,0.0205128205128205,0.6372649572649572,ok,6b5eb84,2e83e59f,precomputed,,
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv,bv,FC,False,683,195,16,103740,0.0125938197597861,-0.0561063773930072,0.8135210871696472,0.0432585217058658,0.0102564102564102,0.6014727153188691,ok,6b5eb84,f955acf2,precomputed,0.5,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv,bv,FC,False,683,195,16,103740,0.012117545120418,-0.0179435070604085,0.8205774426460266,0.0490379333496093,0.0102564102564102,0.6424194608809993,ok,6b5eb84,ef57ba91,precomputed,0.5,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv,bv,FC,False,683,195,16,103740,0.0119860293343663,-0.0071431342512369,0.8225617408752441,0.0496838837862014,0.0153846153846153,0.648809993425378,ok,6b5eb84,f2fa2c36,precomputed,0.5,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv,bv,FC,False,683,195,16,103740,0.0130379805341362,-0.0916189104318618,0.8069396018981934,0.0422098338603973,0.0102564102564102,0.5888494411571334,ok,6b5eb84,b4004b24,precomputed,1.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv,bv,FC,False,683,195,16,103740,0.0122194169089198,-0.0261688064783811,0.8189982175827026,0.0485607832670211,0.0051282051282051,0.6352662721893492,ok,6b5eb84,cd5753b0,precomputed,1.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv,bv,FC,False,683,195,16,103740,0.0119970943778753,-0.0081178154796361,0.8223971128463745,0.0513048805296421,0.0153846153846153,0.6535963182117028,ok,6b5eb84,49bdf4ff,precomputed,1.0,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv,bv,FC,False,683,195,16,103740,0.0137800825759768,-0.1517568677663803,0.7959069013595581,0.0406340658664703,0.0205128205128205,0.5809072978303748,ok,6b5eb84,f914d738,precomputed,2.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv,bv,FC,False,683,195,16,103740,0.0123827494680881,-0.0393043048679828,0.8163794279098511,0.0470988266170024,0.0102564102564102,0.6247994740302433,ok,6b5eb84,06f8918c,precomputed,2.0,1.0
