seed,K,net_pair,n_obs,n_exp,enrichment
6,500,default mode || dorsal attention,35,30.826369545032495,1.1353915662650604
6,500,default mode || default mode,31,26.330857319715257,1.1773258889215399
6,500,default mode || frontoparietal,24,28.899721448467965,0.8304578313253013
6,500,dorsal attention || frontoparietal,22,16.71309192200557,1.3163333333333334
6,500,frontoparietal || frontoparietal,19,7.66016713091922,2.4803636363636365
6,500,default mode || somatosensory,16,35.964097802537914,0.4448881239242685
6,500,default mode || visual,15,34.67966573816156,0.4325301204819277
6,500,ventral attention || ventral attention,15,8.008356545961002,1.8730434782608698
6,500,somatosensory || somatosensory,15,11.915815536985452,1.258831168831169
6,500,dorsal attention || ventral attention,13,17.084493964716806,0.7609239130434783
6,500,default mode || ventral attention,10,29.54193748065614,0.3385018334206391
6,500,frontoparietal || somatosensory,9,19.498607242339833,0.4615714285714286
6,500,dorsal attention || somatosensory,9,20.798514391829155,0.4327232142857143
6,500,frontoparietal || visual,7,18.802228412256266,0.37229629629629635
6,500,frontoparietal || ventral attention,5,16.016713091922004,0.3121739130434783
6,500,ventral attention || visual,1,19.220055710306404,0.052028985507246384
6,500,limbic || limbic,1,2.9247910863509747,0.34190476190476193
7,100,visual || visual,32,2.214484679665738,14.450314465408805
7,100,dorsal attention || dorsal attention,17,1.745589600742804,9.738829787234042
7,100,dorsal attention || visual,14,4.011142061281337,3.490277777777778
7,100,default mode || dorsal attention,11,6.165273909006499,1.7841867469879518
7,100,dorsal attention || frontoparietal,9,3.3426183844011144,2.6925
7,100,somatosensory || ventral attention,4,3.986381925100588,1.003416149068323
7,100,default mode || frontoparietal,3,5.779944289693593,0.5190361445783133
7,100,default mode || visual,2,6.935933147632312,0.2883534136546185
7,100,default mode || ventral attention,2,5.908387496131229,0.33850183342063905
7,100,dorsal attention || ventral attention,1,3.4168987929433614,0.29266304347826083
7,100,frontoparietal || ventral attention,1,3.203342618384401,0.31217391304347825
7,100,frontoparietal || somatosensory,1,3.8997214484679668,0.2564285714285714
7,100,dorsal attention || somatosensory,1,4.159702878365831,0.24040178571428572
7,100,frontoparietal || frontoparietal,1,1.532033426183844,0.6527272727272727
7,100,somatosensory || somatosensory,1,2.3831631073970905,0.41961038961038966
7,200,visual || visual,49,4.428969359331476,11.063522012578616
7,200,dorsal attention || dorsal attention,35,3.491179201485608,10.025265957446809
7,200,dorsal attention || visual,33,8.022284122562674,4.113541666666666
7,200,default mode || dorsal attention,16,12.330547818012999,1.297590361445783
7,200,dorsal attention || frontoparietal,14,6.685236768802229,2.0941666666666667
7,200,somatosensory || ventral attention,10,7.972763850201176,1.2542701863354038
7,200,default mode || default mode,8,10.532342927886104,0.7595650896267998
7,200,default mode || frontoparietal,6,11.559888579387186,0.5190361445783133
7,200,default mode || visual,5,13.871866295264624,0.3604417670682731
