pc,confound_R2_train,confound_R2_test
1,0.8876122832298279,0.8913524150848389
2,0.0630224347114563,0.0789523720741272
3,0.059065282344818115,-0.06186473369598389
4,0.11567580699920654,-0.0233461856842041
5,0.0888066291809082,0.03513169288635254
6,0.33515143394470215,0.2618204951286316
7,0.22953420877456665,0.059693992137908936
8,0.052547991275787354,0.030991315841674805
9,0.09652036428451538,0.08859241008758545
10,0.057491183280944824,0.047191083431243896
