pc,FC_to_PC_R2,FC_to_PC_pearson
1,0.5928389430046082,0.7738034417551007
2,0.00043767690658569336,0.13523007926028133
3,0.25608330965042114,0.5305894264569863
4,0.09054595232009888,0.3168864279371392
5,0.0917809009552002,0.30372031443443137
6,0.033778488636016846,0.20892122712467565
7,0.05128312110900879,0.2881666339082154
8,0.06848865747451782,0.2739441781124294
9,0.05038857460021973,0.23091824588963128
10,0.07778698205947876,0.28708373102142226
