rank,loading,abs_load,region_i,region_j,net_i,net_j,hemi_i,hemi_j
125,-0.03539012372493744,0.03539012372493744,Right_STV,Right_STSdp,default mode,default mode,R,R
126,0.035365357995033264,0.035365357995033264,Left_LIPd,Left_IP2,dorsal attention,frontoparietal,L,L
127,0.035339102149009705,0.035339102149009705,Right_7AL,Right_PoI1,dorsal attention,ventral attention,R,R
128,-0.03531690686941147,0.03531690686941147,Right_V1,Left_V3,visual,visual,R,L
129,0.035290494561195374,0.035290494561195374,Left_LO1,Left_V4t,visual,visual,L,L
130,-0.03525221720337868,0.03525221720337868,Right_PFcm,Right_PoI1,ventral attention,ventral attention,R,R
131,0.03519464284181595,0.03519464284181595,Right_PHT,Right_TPOJ2,dorsal attention,dorsal attention,R,R
132,0.03513868898153305,0.03513868898153305,Left_PHT,Left_FST,dorsal attention,dorsal attention,L,L
133,0.035030297935009,0.035030297935009,Right_V3B,Right_PIT,visual,visual,R,R
134,0.03500242531299591,0.03500242531299591,Right_V3B,Right_LO1,visual,visual,R,R
135,-0.034784574061632156,0.034784574061632156,Right_POS2,Right_31a,default mode,default mode,R,R
136,-0.03473547473549843,0.03473547473549843,Right_MST,Right_V4t,dorsal attention,visual,R,R
137,0.03459624573588371,0.03459624573588371,Right_POS2,Right_ProS,default mode,visual,R,R
138,0.03455444425344467,0.03455444425344467,Right_LO1,Right_V3CD,visual,visual,R,R
139,0.0345446839928627,0.0345446839928627,Right_PIT,Right_PGp,visual,dorsal attention,R,R
140,0.03435691073536873,0.03435691073536873,Right_PGp,Right_V4t,dorsal attention,visual,R,R
141,0.03434807434678078,0.03434807434678078,Right_IPS1,Right_V3B,dorsal attention,visual,R,R
142,0.03432472050189972,0.03432472050189972,Left_V7,Left_IP0,visual,dorsal attention,L,L
143,0.03431668132543564,0.03431668132543564,Right_MIP,Right_IP1,dorsal attention,frontoparietal,R,R
144,-0.03426652029156685,0.03426652029156685,Left_24dd,Left_24dv,somatosensory,somatosensory,L,L
145,0.03414927423000336,0.03414927423000336,Left_MIP,Left_PGp,dorsal attention,dorsal attention,L,L
146,-0.03414790704846382,0.03414790704846382,Right_7AL,Right_LIPv,dorsal attention,dorsal attention,R,R
