parc,n_edges,trait_frac_mean,state_frac_mean,within_sess_frac_mean,noise_frac_mean,G_mean,G_median
Glasser,64620,0.30098738153968774,0.03508228160965622,0.02127052365075059,0.6426598131999055,0.5851364632245181,0.6001838737616626
4S456Parcels,103740,0.2607691609406708,0.034885765024896744,0.021184638440767966,0.6831604355936646,0.5187443276172589,0.561349455899362
