subject,achieved_mean,n_test,ceiling,source,fraction
100206,0.0245556328445673,1,0.6002005,SC,0.040912383186230764
100307,0.32526424527168274,1,0.5560747,SC,0.5849290486901899
100408,0.19778706630071005,3,0.4245691,SC,0.465853653270363
100610,0.018710188567638397,1,0.58755153,SC,0.03184433638976039
101006,0.02875121869146824,1,0.6263233,SC,0.04590475668311914
101107,0.021767213940620422,4,0.4711251,SC,0.04620261994238987
101309,0.021050397966367502,3,0.6132873,SC,0.03432387718833816
101915,0.051941017620265484,2,0.50180626,SC,0.10350811012255107
102008,-0.07642709463834763,3,0.40255067,SC,-0.1898570797021593
102109,-0.034938625246286395,5,0.49374717,SC,-0.070762178234432
102311,0.08779755979776382,1,0.23845693,SC,0.36819043085794917
102614,0.07900968752801418,4,0.55299026,SC,0.14287717748955323
102715,0.1416954305022955,4,0.45989138,SC,0.3081062978442768
102816,0.12111163387695949,3,0.36600265,SC,0.33090370760146
103212,0.07744056234757106,3,0.37088296,SC,0.20880054006140122
103414,0.14476044476032257,2,0.44797248,SC,0.3231458431560853
103515,0.15807137886683145,6,0.3873662,SC,0.40806704061126514
104012,0.11912304908037186,1,0.5233936,SC,0.22759745071466647
104416,-0.021383849903941154,1,0.4978898,SC,-0.04294896160544192
104820,-0.03427726402878761,1,0.62178123,SC,-0.05512753099476421
105014,0.007968594320118427,2,0.50464976,SC,0.015790346001786325
105216,0.0883808508515358,1,0.53217787,SC,0.1660738933987161
105620,0.004338353872299194,2,0.5343774,SC,0.008118520491883066
105923,0.039480552077293396,1,0.40336117,SC,0.09787891104464368
106016,0.023291975259780884,2,0.5272303,SC,0.04417799064238319
106319,-0.19702677428722382,1,0.57501173,SC,-0.34264826960525446
106521,0.0546268280595541,3,0.5180291,SC,0.10545127302607922
107018,-0.04238761682063341,4,0.15979849,SC,-0.26525667933804264
107321,0.10779189318418503,2,0.33634642,SC,0.32047878845918754
107422,-0.0023434019337097802,3,0.36916476,SC,-0.006347848407062961
107725,0.04802522738464177,2,0.453468,SC,0.10590654111126202
108020,0.10791220292448997,5,0.36138803,SC,0.2986048069286909
108121,0.10781098902225494,2,0.53549373,SC,0.20133006790248495
108222,0.19861425459384918,1,0.5807149,SC,0.3420168047932801
108323,0.007197008778651555,3,0.6241536,SC,0.011530829556461031
108525,0.469034843146801,4,0.6965633,SC,0.6733556636515318
108828,-0.06816165783675388,2,0.5670685,SC,-0.1202000425640886
109830,0.06006255850661546,4,0.42663923,SC,0.14078067435715055
110007,0.048541684402152896,4,0.57225007,SC,0.08482599993767216
110411,0.07887369394302368,1,0.3461561,SC,0.22785585446283824
110613,-0.16347302496433258,1,0.046163216,SC,-3.5411966307618727
111009,0.20642767349878946,3,0.6353489,SC,0.324904432035358
111211,-0.018222404643893242,2,0.54307604,SC,-0.033554057446344425
111312,0.19118942134082317,2,0.6861333,SC,0.2786476350015707
111413,0.11755526438355446,2,0.40839413,SC,0.28784758581998826
111716,0.13377052918076515,2,0.5222081,SC,0.256163259782384
112112,0.12010274082422256,1,0.5858681,SC,0.20499962504226218
112314,-0.10851247608661652,1,0.48349997,SC,-0.22443119507663364
112516,0.14574175824721655,3,0.5125465,SC,0.2843483630211435
112920,0.1742803156375885,1,0.5301746,SC,0.32872249186888336
113215,-0.21410325169563293,1,0.5480446,SC,-0.3906675692008149
113922,0.25666120648384094,1,0.28236273,SC,0.9089769265364481
114217,0.044609714299440384,5,0.40201262,SC,0.11096595499773212
114318,0.10199998319149017,1,0.5761673,SC,0.17703188499501823
114419,-0.01702936552464962,2,0.44995353,SC,-0.03784694282685063
114823,0.22087441384792328,2,0.4561406,SC,0.48422441205172984
115017,0.020329110324382782,3,0.40001112,SC,0.050821362977066194
115219,0.33963338037331897,3,0.57259357,SC,0.5931491343385483
115320,0.034029070287942886,3,0.5748081,SC,0.05920074941174782
115724,0.31164613366127014,1,0.5711508,SC,0.5456459724144135
115825,0.09199496358633041,1,0.42061844,SC,0.2187135770517584
116524,0.36774609982967377,2,0.44103163,SC,0.833831577634633
117021,0.18215709924697876,2,0.77507037,SC,0.23502007856006515
117122,0.08484403043985367,2,0.4879898,SC,0.17386435216443802
117324,0.1842695027589798,1,0.40784895,SC,0.45180820683485834
117930,-0.05746671184897423,1,0.60356504,SC,-0.09521212800690747
118124,0.05621222034096718,1,0.6424346,SC,0.08749874359346023
118225,0.058932602405548096,1,0.4828267,SC,0.1220574636935946
118528,-0.0022269959251085916,3,0.7050991,SC,-0.0031584154980606152
118730,0.07631607353687286,2,0.49189803,SC,0.15514612558394036
118831,0.08807087317109108,2,0.5047873,SC,0.17447125387483217
118932,-0.00680166482925415,5,0.5071633,SC,-0.013411192862839543
119025,-0.07115370035171509,2,0.6118234,SC,-0.11629777539027616
119126,0.09847809374332428,1,0.5616731,SC,0.17532990941407783
120111,0.04610053822398186,2,0.59668577,SC,0.07726099823694783
120212,0.12771643791347742,4,0.66964287,SC,0.19072321028890732
120515,0.1728317141532898,4,0.47304222,SC,0.3653621322707512
120717,0.044029522531976305,6,0.36763567,SC,0.11976401128861164
121416,0.040793389081954956,3,0.14772955,SC,0.27613560781817154
121618,0.0723300352692604,1,0.49429727,SC,0.14632902032669612
121921,-0.0341451452113688,2,0.4920667,SC,-0.06939129433340804
122317,0.10334289819002151,2,0.42214498,SC,0.2448042807237019
122620,0.13224291801452637,2,0.52407193,SC,0.25233734234635763
122822,0.0573485866189003,2,0.57989323,SC,0.09889507870078135
123420,0.20621592551469803,2,0.30661294,SC,0.6725610651484508
123521,0.11574667692184448,1,0.5553933,SC,0.2084048851900887
123723,-0.005201926454901695,2,0.46305308,SC,-0.011233974418012067
123925,0.32261893153190613,1,0.3561217,SC,0.9059232603121521
124220,0.06792888604104519,4,0.42290175,SC,0.16062569152538428
124422,-0.04041311889886856,1,0.65952647,SC,-0.06127596197749055
124624,0.13568860292434692,1,0.28194174,SC,0.4812646858331332
125222,-0.08516475185751915,2,0.5847063,SC,-0.14565389813230872
125424,0.13523750007152557,1,0.47580755,SC,0.28422731012050056
125525,0.09651127681136132,5,0.4294793,SC,0.2247169463379523
126325,0.06987762823700905,3,0.38216287,SC,0.1828477691645163
126426,0.15947189927101135,1,0.5829147,SC,0.2735767330468958
126628,0.042099129408597946,1,0.51261413,SC,0.08212635381041476
127327,0.10946514954169591,3,0.34901989,SC,0.3136358490677878
127630,0.0922471284866333,2,0.4541069,SC,0.20313967589268805
127731,0.21183300018310547,1,0.15531757,SC,1.3638701673165856
127832,0.02182733453810215,1,0.54547435,SC,0.04001532709668594
127933,0.058134415943641216,2,0.37662607,SC,0.154355793648701
128026,0.1957312598824501,2,0.59125,SC,0.3310465283424103
128127,0.09652303904294968,3,0.5019095,SC,0.19231163993299524
128632,0.17681580036878586,2,0.6907447,SC,0.2559785118420537
129028,0.08940803011258443,3,0.55870706,SC,0.16002666963360804
129129,-0.1469622701406479,1,0.48394677,SC,-0.30367445192504927
129634,0.08857042156159878,2,0.5374492,SC,0.16479775495358218
130013,0.0110206282697618,2,0.34725806,SC,0.03173613384167901
130316,0.14646314084529877,1,0.47688782,SC,0.3071228383339687
130518,0.029197683557868004,2,0.37802225,SC,0.07723800267806459
130619,0.21970680123195052,4,0.64587784,SC,0.3401677339354924
130720,0.05508545320481062,4,0.42845386,SC,0.12856799377373007
130821,-0.13787981867790222,1,0.49580455,SC,-0.2780930886533861
130922,0.062109049409627914,1,0.5388754,SC,0.11525679110537967
131722,0.10999195277690887,2,0.37789443,SC,0.2910652924334155
131823,0.11065513640642166,5,0.57974887,SC,0.19086736021826428
131924,0.07133318608005841,3,0.3750632,SC,0.1901897762298685
132017,0.027040190994739532,2,0.59614265,SC,0.04535859159672527
132118,0.036877001325289406,3,0.6252766,SC,0.05897710121454954
133019,0.04696859512478113,2,0.4313141,SC,0.10889649822433613
133625,0.1059610905746619,3,0.5478244,SC,0.19342163396639853
133827,0.3539218008518219,1,0.45943964,SC,0.7703336195627829
133928,0.22384154299894968,3,0.3684116,SC,0.6075854913334696
134021,-0.04931703209877014,1,0.6455748,SC,-0.07639243678466096
134324,-0.017038623162079602,2,0.5794847,SC,-0.02940305958393656
134425,0.12758081406354904,2,0.44536442,SC,0.2864638671934077
134627,0.05870469845831394,2,0.40449193,SC,0.1451319398592549
134728,0.2423041413227717,3,0.26870954,SC,0.9017325597102793
134829,0.16919643680254617,3,0.77380776,SC,0.21865435518835608
135124,-0.014185511507093906,1,0.6135929,SC,-0.023118767357141693
135225,0.053116483613848686,2,0.5633356,SC,0.09428923649392774
135528,0.17145665362477303,4,0.44003826,SC,0.38964033178563384
135629,0.009991556119833453,3,0.43659523,SC,0.02288517013764317
135932,-0.004945441614836454,1,0.2890755,SC,-0.01710778538768057
136126,0.030681965872645378,1,0.35582057,SC,0.08622875814246876
136227,0.16112269461154938,2,0.48567334,SC,0.331751161411391
136631,-0.04254552349448204,1,0.64037645,SC,-0.06643830124371694
136732,0.15593700390309095,4,0.51065135,SC,0.30536882728909065
136833,0.15008385553956033,5,0.47544795,SC,0.31566831982251753
137027,0.0008140898620088896,3,0.5813724,SC,0.001400289834895653
137128,0.1184054377488792,5,0.6543674,SC,0.18094641901304861
137229,0.06762250699102879,2,0.55840373,SC,0.12109966921429552
137431,0.052782561630010605,1,0.44672653,SC,0.11815407880523819
137532,-0.05155869275331497,5,0.59533095,SC,-0.08660509377736025
137633,0.13799618929624557,3,0.45434672,SC,0.3037244096232181
137936,0.22809446975588799,2,0.7407409,SC,0.30792746796604314
138130,0.15199977904558182,2,0.5770297,SC,0.263417600594184
138231,0.007757577742449939,5,0.5258421,SC,0.014752675265920966
138332,0.060567460022866726,2,0.4101344,SC,0.14767710297616274
138534,0.11438112705945969,1,0.4512658,SC,0.2534673069828462
138837,0.15694857388734818,2,0.57214385,SC,0.2743166318878516
139233,0.002890880685299635,1,0.54620874,SC,0.005292629856672808
139435,0.05786605074536055,2,0.38833043,SC,0.1490124035485979
139637,-0.08806707710027695,1,0.41214165,SC,-0.21368157549783415
139839,0.000679961716135343,3,0.66338754,SC,0.0010249841535090378
140117,0.23571004966894785,3,0.65912193,SC,0.35761220942678673
140319,0.19220280647277832,2,0.5016558,SC,0.38313681706217356
140824,0.17400264739990234,2,0.4476619,SC,0.38869210759258793
140925,0.4205711781978607,1,0.7210223,SC,0.5832984336238431
141119,0.10272454470396042,3,0.43914318,SC,0.23392039175915338
