source,filter,n_kept,mean_achieved,mean_ceiling,fraction_of_ceiling
SC,all,857,0.08318186821558823,0.49144600174562425,0.1692594261020028
SC,drop_rel_below_0.2,841,0.08308507106473341,0.49826267932223545,0.1667495369666264
SC,drop_bottom_10pct,771,0.08258290454819266,0.5170764439299611,0.15971121004958921
SC,keep_top_50pct,429,0.07952573408692276,0.5823666714685315,0.13655612174093995
bv+demo,all,857,0.10204716292282372,0.49144600174562425,0.2076467456451991
bv+demo,drop_rel_below_0.2,841,0.10189911480517543,0.49826267932223545,0.20450882442928348
bv+demo,drop_bottom_10pct,771,0.10404769563936475,0.5170764439299611,0.20122304324785328
bv+demo,keep_top_50pct,429,0.11474049193984952,0.5823666714685315,0.19702448227422228
