source,n,pearson_achieved_vs_ceiling,pearson_p,spearman_achieved_vs_ceiling,spearman_p
SC,857,0.012157365709755619,0.7222935174893523,-0.0009669443741789133,0.9774503451743088
bv+demo,857,0.1465388823711094,1.6558072919785247e-05,0.14651569436245387,1.660970099394255e-05
