parc,n,comparison,demeaned_pearson,pearson,top1_acc,avg_rank,mse,r2
Glasser,1018,within_session_run1,0.3645399510860443,0.7098592519760132,0.775049115913556,0.968221328464843,0.033118221908807755,-0.3799511790275574
Glasser,1018,within_session_run2,0.35983461141586304,0.7004645466804504,0.8290766208251473,0.9888162389368576,0.03303864225745201,-0.34319260716438293
Glasser,1018,between_session,0.4905364215373993,0.8134419918060303,0.9332023575638507,0.9916445050003667,0.01791822910308838,-0.11947095394134521
4S456Parcels,1018,within_session_run1,0.3370996117591858,0.6703552007675171,0.775049115913556,0.969396636573118,0.03239370137453079,-0.46622106432914734
4S456Parcels,1018,within_session_run2,0.33095410466194153,0.6608899235725403,0.8261296660117878,0.9895785487936205,0.03221503645181656,-0.42625704407691956
4S456Parcels,1018,between_session,0.45654505491256714,0.7832416296005249,0.9361493123772102,0.9934422053334672,0.017477449029684067,-0.23369120061397552
