source,metric,achieved,ceiling,fraction_of_ceiling
SC->FC,demeaned_pearson,0.08469881117343903,0.4905364215373993,0.17266569301415563
SC->FC,pearson,0.8292234838008881,0.8134419918060303,1.0194008818745872
SC->FC,top1_acc,0.05128205128205128,0.9332023575638507,0.054952766531713895
SC->FC,avg_rank,0.7128205128205128,0.9916445050003667,0.7188266654291088
bv+demo->FC,demeaned_pearson,0.09820640087127686,0.4905364215373993,0.20020205750163536
bv+demo->FC,pearson,0.834946870803833,0.8134419918060303,1.0264368931213605
bv+demo->FC,top1_acc,0.02564102564102564,0.9332023575638507,0.027476383265856948
bv+demo->FC,avg_rank,0.683326758711374,0.9916445050003667,0.6890843999696458
