seed,estimator,recon_dr,sib_auc,cog_cryst_lift,git_commit
0,obj1a_ungated,0.11014711111783981,0.7558362573099415,0.24417668322321223,f8d84d1
1,obj1a_ungated,0.10266858339309692,0.7603954802259887,0.06212844132101675,f8d84d1
2,obj1a_ungated,0.1046634390950203,0.7838185691461034,0.05818242329726614,f8d84d1
3,obj1a_ungated,0.11331892758607864,0.7666086956521739,0.027854052593687784,f8d84d1
4,obj1a_ungated,0.10843615233898163,0.8055521659548505,-0.021704816368665558,f8d84d1
